payment_id,shipment_id,method,amount,ccy,bank,broker
P0000187,S0002651,cashlike,4004,USD,bank_B,broker_Y
P0000188,S0000408,letter_of_credit,5746,JPY,bank_C,broker_Z
P0000189,S0002578,cashlike,120623,JPY,bank_C,broker_Y
P0000190,S0001042,letter_of_credit,3352,EUR,bank_A,broker_X
P0000191,S0000363,letter_of_credit,22232,JPY,bank_B,broker_Y
P0000192,S0000246,wire,108934,USD,bank_B,broker_Z
P0000193,S0003623,cashlike,138548,JPY,bank_A,broker_X
P0000194,S0000107,letter_of_credit,44234,JPY,bank_A,broker_Z
P0000195,S0004796,wire,188019,JPY,bank_B,broker_Y
P0000196,S0004075,letter_of_credit,197761,EUR,bank_B,broker_Z
P0000197,S0003563,wire,155157,EUR,bank_A,broker_X
P0000198,S0002080,letter_of_credit,34458,JPY,bank_B,broker_X
P0000199,S0000899,letter_of_credit,116921,USD,bank_A,broker_Y
P0000200,S0000620,wire,39692,USD,bank_B,broker_Y
P0000201,S0004345,cashlike,70762,USD,bank_A,broker_Y
P0000202,S0000012,cashlike,90122,USD,bank_A,broker_Y
P0000203,S0002077,cashlike,176318,EUR,bank_A,broker_Y
P0000204,S0002220,wire,172039,JPY,bank_C,broker_Y
P0000205,S0001132,cashlike,50974,JPY,bank_C,broker_X
P0000206,S0002120,cashlike,190647,JPY,bank_A,broker_X
P0000207,S0001465,cashlike,42844,USD,bank_B,broker_Z
P0000208,S0002330,wire,79720,JPY,bank_A,broker_X
P0000209,S0002064,cashlike,65310,USD,bank_C,broker_Y
P0000210,S0001843,wire,20514,EUR,bank_B,broker_X
P0000211,S0003229,cashlike,38964,JPY,bank_C,broker_Y
P0000212,S0004283,letter_of_credit,69487,EUR,bank_C,broker_Y
P0000213,S0000740,cashlike,1509,EUR,bank_C,broker_Z
P0000214,S0001781,cashlike,68202,EUR,bank_B,broker_Z
P0000215,S0003559,wire,118199,JPY,bank_B,broker_Y
P0000216,S0002924,wire,195501,EUR,bank_B,broker_Z
P0000217,S0002101,letter_of_credit,124813,USD,bank_B,broker_Z
P0000218,S0002169,letter_of_credit,117043,JPY,bank_C,broker_X
P0000219,S0000437,cashlike,184246,EUR,bank_B,broker_Y
P0000220,S0001835,cashlike,66096,JPY,bank_C,broker_Y
P0000221,S0002097,cashlike,118567,EUR,bank_C,broker_X
P0000222,S0003942,wire,171832,JPY,bank_A,broker_X
P0000223,S0003542,wire,142520,JPY,bank_B,broker_Y
P0000224,S0001913,wire,177074,USD,bank_A,broker_Z
P0000225,S0003857,letter_of_credit,10593,EUR,bank_C,broker_Y
P0000226,S0004277,letter_of_credit,142292,EUR,bank_C,broker_Z
P0000227,S0004447,cashlike,171657,EUR,bank_B,broker_Y
P0000228,S0000136,wire,138006,JPY,bank_C,broker_Z
P0000229,S0003283,wire,46993,JPY,bank_B,broker_X
P0000230,S0001695,wire,103237,JPY,bank_A,broker_X
P0000231,S0001529,letter_of_credit,101053,USD,bank_A,broker_Y
P0000232,S0000999,letter_of_credit,126356,JPY,bank_C,broker_X
P0000233,S0002041,cashlike,21624,USD,bank_C,broker_X
P0000234,S0004897,cashlike,2225,JPY,bank_B,broker_Z
P0000235,S0000851,cashlike,79233,JPY,bank_A,broker_X
P0000236,S0004044,wire,132076,EUR,bank_C,broker_Y
P0000237,S0002560,cashlike,116361,EUR,bank_C,broker_X
P0000238,S0003736,cashlike,80011,JPY,bank_A,broker_X
P0000239,S0003346,wire,13837,EUR,bank_C,broker_X
P0000240,S0000624,letter_of_credit,183230,EUR,bank_C,broker_Y
P0000241,S0004605,wire,54472,EUR,bank_A,broker_Y
P0000242,S0002138,letter_of_credit,65826,USD,bank_A,broker_Z
P0000243,S0001590,letter_of_credit,131814,JPY,bank_C,broker_X
P0000244,S0003763,letter_of_credit,48164,EUR,bank_B,broker_Y
P0000245,S0004516,cashlike,184958,EUR,bank_B,broker_Z
P0000246,S0001239,wire,22466,JPY,bank_C,broker_Z
P0000247,S0001574,wire,135797,JPY,bank_C,broker_X
P0000248,S0003404,letter_of_credit,50397,USD,bank_B,broker_Y
P0000249,S0003610,wire,20676,JPY,bank_B,broker_X
P0000250,S0002396,cashlike,16524,USD,bank_B,broker_Y
P0000251,S0003525,letter_of_credit,95841,EUR,bank_C,broker_Y
P0000252,S0002643,letter_of_credit,75746,EUR,bank_B,broker_X
P0000253,S0001954,cashlike,15457,EUR,bank_C,broker_X
P0000254,S0001480,cashlike,2941,EUR,bank_C,broker_Y
P0000255,S0002076,wire,14151,USD,bank_C,broker_Z
P0000256,S0002750,cashlike,103875,EUR,bank_A,broker_Y
P0000257,S0002021,wire,108569,EUR,bank_A,broker_Y
P0000258,S0001763,letter_of_credit,54984,JPY,bank_B,broker_Y
P0000259,S0000847,letter_of_credit,116117,EUR,bank_C,broker_X
P0000260,S0000093,wire,109636,USD,bank_C,broker_Z
P0000261,S0002913,cashlike,80389,JPY,bank_A,broker_X
P0000262,S0004580,cashlike,65593,USD,bank_A,broker_X
P0000263,S0004422,cashlike,98810,EUR,bank_B,broker_X
P0000264,S0003171,letter_of_credit,132499,JPY,bank_B,broker_Z
P0000265,S0002125,letter_of_credit,184822,USD,bank_C,broker_Z
P0000266,S0004608,wire,58178,USD,bank_C,broker_X
P0000267,S0003994,letter_of_credit,59921,USD,bank_A,broker_Y
P0000268,S0001814,letter_of_credit,12547,USD,bank_B,broker_Y
P0000269,S0002262,wire,12039,EUR,bank_A,broker_Z
P0000270,S0001632,wire,37450,USD,bank_B,broker_Z
P0000271,S0004816,cashlike,134500,USD,bank_C,broker_X
P0000272,S0000533,letter_of_credit,100009,USD,bank_A,broker_Y
P0000273,S0000100,wire,26315,JPY,bank_A,broker_Y
P0000274,S0000046,wire,63410,JPY,bank_B,broker_X
P0000275,S0001231,wire,136608,USD,bank_B,broker_Y
P0000276,S0001001,wire,184052,EUR,bank_A,broker_Y
P0000277,S0000219,letter_of_credit,95229,EUR,bank_A,broker_Z
P0000278,S0002408,cashlike,77444,EUR,bank_A,broker_Z
P0000279,S0001781,cashlike,28882,USD,bank_B,broker_Z
P0000280,S0001942,cashlike,37392,EUR,bank_C,broker_Z
P0000281,S0004498,cashlike,108259,USD,bank_C,broker_Z
P0000282,S0004907,cashlike,101407,USD,bank_C,broker_X
P0000283,S0001341,cashlike,105831,USD,bank_B,broker_X
P0000284,S0003188,cashlike,78849,EUR,bank_B,broker_Z
P0000285,S0000517,wire,82707,EUR,bank_C,broker_Y
P0000286,S0002526,cashlike,159240,JPY,bank_A,broker_Z
P0000287,S0004430,cashlike,140152,JPY,bank_B,broker_Z
P0000288,S0001992,letter_of_credit,167765,EUR,bank_C,broker_Z
P0000289,S0004572,letter_of_credit,66639,EUR,bank_C,broker_Z
P0000290,S0001581,cashlike,184741,EUR,bank_B,broker_X
P0000291,S0000457,cashlike,6257,JPY,bank_A,broker_X
P0000292,S0004752,wire,159964,JPY,bank_A,broker_X
P0000293,S0000870,cashlike,23521,USD,bank_A,broker_X
P0000294,S0001964,wire,112333,JPY,bank_A,broker_X
P0000295,S0000777,wire,53610,EUR,bank_A,broker_X
P0000296,S0000649,wire,129816,JPY,bank_B,broker_X
P0000297,S0001352,wire,73422,USD,bank_A,broker_Z
P0000298,S0002848,wire,72300,JPY,bank_A,broker_Y
P0000299,S0000832,cashlike,106647,JPY,bank_A,broker_X
P0000300,S0004777,wire,133201,USD,bank_B,broker_X
P0000301,S0004600,wire,36858,JPY,bank_A,broker_Z
P0000302,S0004762,wire,23540,JPY,bank_A,broker_Y
P0000303,S0000182,cashlike,5571,JPY,bank_C,broker_X
P0000304,S0003346,wire,152220,EUR,bank_B,broker_Y
P0000305,S0004064,letter_of_credit,85397,EUR,bank_C,broker_X
P0000306,S0003619,letter_of_credit,95611,JPY,bank_B,broker_Y
P0000307,S0002447,wire,186677,USD,bank_A,broker_Y
P0000308,S0001500,wire,170629,JPY,bank_B,broker_Z
P0000309,S0001588,wire,88635,EUR,bank_C,broker_Z
P0000310,S0004560,wire,25348,JPY,bank_C,broker_X
P0000311,S0000347,letter_of_credit,79762,JPY,bank_A,broker_Z
P0000312,S0003807,cashlike,185854,USD,bank_C,broker_Z
P0000313,S0001223,cashlike,150400,USD,bank_C,broker_Y
P0000314,S0003296,wire,182939,EUR,bank_A,broker_X
P0000315,S0003000,letter_of_credit,146747,USD,bank_C,broker_Y
P0000316,S0000910,cashlike,152758,JPY,bank_A,broker_X
P0000317,S0001627,cashlike,69709,EUR,bank_A,broker_Y
P0000318,S0000298,cashlike,91286,USD,bank_A,broker_Z
P0000319,S0000418,letter_of_credit,102351,EUR,bank_B,broker_X
P0000320,S0002696,cashlike,177964,EUR,bank_C,broker_Y
P0000321,S0001916,letter_of_credit,181645,EUR,bank_B,broker_Z
P0000322,S0003608,letter_of_credit,109401,USD,bank_A,broker_Z
P0000323,S0002040,letter_of_credit,6940,EUR,bank_B,broker_Z
P0000324,S0003134,cashlike,144879,EUR,bank_A,broker_Z
P0000325,S0000724,letter_of_credit,148176,JPY,bank_B,broker_Y
P0000326,S0004970,wire,20191,USD,bank_B,broker_Z
P0000327,S0000559,wire,25573,USD,bank_C,broker_X
P0000328,S0001450,letter_of_credit,30952,EUR,bank_C,broker_Z
P0000329,S0004001,cashlike,123515,USD,bank_A,broker_Z
P0000330,S0003989,letter_of_credit,92673,USD,bank_C,broker_Z
P0000331,S0002682,letter_of_credit,119118,USD,bank_C,broker_X
P0000332,S0004882,letter_of_credit,61219,USD,bank_C,broker_Y
P0000333,S0001295,wire,143882,JPY,bank_B,broker_X
P0000334,S0004208,letter_of_credit,83375,JPY,bank_B,broker_Y
P0000335,S0000574,wire,137785,USD,bank_B,broker_Z
P0000336,S0004712,letter_of_credit,186349,JPY,bank_C,broker_Z
P0000337,S0001517,letter_of_credit,70783,EUR,bank_B,broker_Z
P0000338,S0000714,cashlike,199176,JPY,bank_B,broker_X
P0000339,S0002031,wire,36586,USD,bank_A,broker_X
P0000340,S0002207,cashlike,29811,EUR,bank_C,broker_Y
P0000341,S0000565,letter_of_credit,194885,EUR,bank_B,broker_X
P0000342,S0004453,cashlike,33781,USD,bank_A,broker_X
P0000343,S0003347,wire,114315,EUR,bank_B,broker_Y
P0000344,S0004385,letter_of_credit,50241,USD,bank_B,broker_X
P0000345,S0004864,letter_of_credit,79472,EUR,bank_A,broker_Y
P0000346,S0003064,cashlike,6744,USD,bank_B,broker_Y
P0000347,S0000116,wire,131350,JPY,bank_A,broker_Y
P0000348,S0004905,wire,127375,EUR,bank_C,broker_Z
P0000349,S0003172,wire,91251,JPY,bank_A,broker_Y
P0000350,S0004197,wire,147998,USD,bank_B,broker_X
P0000351,S0004373,letter_of_credit,22098,USD,bank_B,broker_X
P0000352,S0002393,cashlike,56019,USD,bank_B,broker_X
P0000353,S0000149,letter_of_credit,46484,USD,bank_B,broker_Y
P0000354,S0003037,wire,43060,EUR,bank_A,broker_Y
P0000355,S0003912,letter_of_credit,54385,USD,bank_B,broker_Z
P0000356,S0000680,wire,67271,USD,bank_C,broker_Z
P0000357,S0000837,wire,165199,USD,bank_C,broker_Z
P0000358,S0001207,cashlike,108026,JPY,bank_C,broker_Z
P0000359,S0003882,wire,122657,USD,bank_B,broker_X
P0000360,S0004572,letter_of_credit,188730,USD,bank_B,broker_Z
P0000361,S0004346,wire,150119,JPY,bank_C,broker_X
P0000362,S0001366,cashlike,136948,JPY,bank_B,broker_X
P0000363,S0004766,cashlike,103967,USD,bank_B,broker_Z
P0000364,S0003314,cashlike,173620,JPY,bank_B,broker_Y
P0000365,S0001178,wire,168191,JPY,bank_C,broker_X
P0000366,S0001270,cashlike,198950,USD,bank_C,broker_X
P0000367,S0001271,letter_of_credit,64021,EUR,bank_B,broker_Z
P0000368,S0004218,letter_of_credit,187118,USD,bank_C,broker_Y
P0000369,S0000016,letter_of_credit,107199,JPY,bank_C,broker_Y
P0000370,S0004854,letter_of_credit,51540,EUR,bank_A,broker_X
P0000371,S0001604,wire,56954,JPY,bank_B,broker_Z
P0000372,S0002068,wire,73989,JPY,bank_A,broker_Y
P0000373,S0003777,wire,47788,USD,bank_A,broker_Y
P0000374,S0002363,letter_of_credit,187110,USD,bank_A,broker_Y
P0000375,S0003209,wire,46987,USD,bank_C,broker_Y
P0000376,S0002826,cashlike,57863,USD,bank_A,broker_Y
P0000377,S0003330,letter_of_credit,45522,JPY,bank_C,broker_X
P0000378,S0003670,letter_of_credit,170509,USD,bank_A,broker_X
P0000379,S0000729,wire,177324,USD,bank_C,broker_X
P0000380,S0003740,cashlike,64886,EUR,bank_B,broker_Z
P0000381,S0003067,cashlike,66323,USD,bank_C,broker_Y
P0000382,S0001699,cashlike,112829,EUR,bank_B,broker_Y
P0000383,S0002384,cashlike,198069,JPY,bank_C,broker_Y
P0000384,S0003457,cashlike,53987,JPY,bank_C,broker_Z
P0000385,S0004411,cashlike,160280,JPY,bank_C,broker_Y
P0000386,S0001944,letter_of_credit,199847,EUR,bank_C,broker_Z
P0000387,S0002614,letter_of_credit,120457,EUR,bank_A,broker_Z
P0000388,S0001367,letter_of_credit,95874,JPY,bank_B,broker_X
P0000389,S0001231,cashlike,105870,USD,bank_B,broker_Y
P0000390,S0000571,wire,58709,JPY,bank_C,broker_Y
P0000391,S0004531,wire,29358,USD,bank_C,broker_Y
P0000392,S0003229,cashlike,170168,USD,bank_B,broker_Y
P0000393,S0002218,wire,128633,EUR,bank_A,broker_Z
P0000394,S0000511,letter_of_credit,118270,USD,bank_A,broker_Y
P0000395,S0002010,letter_of_credit,86295,JPY,bank_B,broker_Y
P0000396,S0003937,cashlike,157732,USD,bank_B,broker_Y
P0000397,S0003452,cashlike,155606,EUR,bank_C,broker_Y
P0000398,S0000566,letter_of_credit,109722,USD,bank_B,broker_X
P0000399,S0000759,wire,103335,JPY,bank_C,broker_X
P0000400,S0000817,cashlike,126414,EUR,bank_C,broker_Z
P0000401,S0001627,letter_of_credit,106453,EUR,bank_A,broker_Y
P0000402,S0002113,cashlike,79118,EUR,bank_C,broker_X
P0000403,S0001868,wire,186409,USD,bank_A,broker_Y
P0000404,S0000404,letter_of_credit,76322,EUR,bank_C,broker_X
P0000405,S0001552,wire,193484,USD,bank_A,broker_X
P0000406,S0000111,wire,126722,USD,bank_A,broker_Z
P0000407,S0002279,letter_of_credit,31055,EUR,bank_A,broker_X
P0000408,S0002601,letter_of_credit,72314,EUR,bank_C,broker_Z
P0000409,S0002283,cashlike,113184,USD,bank_C,broker_Z
P0000410,S0000073,letter_of_credit,186017,JPY,bank_C,broker_X
P0000411,S0004157,wire,36236,EUR,bank_A,broker_Z
P0000412,S0003358,letter_of_credit,189951,EUR,bank_A,broker_Z
P0000413,S0001411,cashlike,107682,EUR,bank_C,broker_X
P0000414,S0000566,letter_of_credit,185942,JPY,bank_A,broker_X
P0000415,S0004309,letter_of_credit,186112,JPY,bank_B,broker_X
P0000416,S0004396,letter_of_credit,123704,EUR,bank_A,broker_Y
P0000417,S0004654,letter_of_credit,59533,USD,bank_C,broker_Z
P0000418,S0003360,letter_of_credit,35130,USD,bank_B,broker_Z
P0000419,S0001641,cashlike,122226,JPY,bank_B,broker_X
P0000420,S0003830,wire,163535,USD,bank_C,broker_Y
P0000421,S0003908,letter_of_credit,79433,EUR,bank_B,broker_X
P0000422,S0002569,letter_of_credit,6092,USD,bank_C,broker_X
P0000423,S0003683,cashlike,146085,USD,bank_C,broker_Y
P0000424,S0002972,wire,193990,JPY,bank_C,broker_Z
P0000425,S0004771,wire,180837,USD,bank_A,broker_X
P0000426,S0004115,cashlike,64624,USD,bank_A,broker_Z
