shipment_id,exporter_id,domain,incoterm,mode,qty,unit,invoice_id,description
S0000038,E001407,chemicals_precursors,FOB,air,413,L,INV668599,DESC chemicals_precursors 493
S0000039,E001101,medical_bio_lab,DAP,road,479,pcs,INV265891,DESC medical_bio_lab 618
S0000040,E000067,energy_equipment,FOB,road,457,pcs,INV191839,DESC energy_equipment 31
S0000041,E000990,machine_tools,DAP,sea,471,pcs,INV223208,DESC machine_tools 679
S0000042,E001153,medical_bio_lab,FOB,air,39,kg,INV799548,DESC medical_bio_lab 517
S0000043,E000820,medical_bio_lab,CIF,sea,33,pcs,INV970045,DESC medical_bio_lab 938
S0000044,E001741,aerospace_uas_avionics,CIF,road,362,pcs,INV232061,DESC aerospace_uas_avionics 400
S0000045,E001406,maritime_port_equipment,CIF,road,125,pcs,INV243884,DESC maritime_port_equipment 881
S0000046,E001347,medical_bio_lab,FOB,sea,335,L,INV150700,DESC medical_bio_lab 367
S0000047,E000228,maritime_port_equipment,CIF,sea,224,pcs,INV179160,DESC maritime_port_equipment 605
S0000048,E000352,aerospace_uas_avionics,CIF,road,267,L,INV634888,DESC aerospace_uas_avionics 248
S0000049,E001892,maritime_port_equipment,FOB,air,28,L,INV334390,DESC maritime_port_equipment 834
S0000050,E001073,maritime_port_equipment,FOB,sea,334,pcs,INV695563,DESC maritime_port_equipment 763
S0000051,E000888,chemicals_precursors,CIF,road,424,kg,INV263529,DESC chemicals_precursors 682
S0000052,E000467,aerospace_uas_avionics,CIF,air,202,pcs,INV567568,DESC aerospace_uas_avionics 261
S0000053,E000173,luxury_dual_use_consumer,CIF,air,425,pcs,INV535549,DESC luxury_dual_use_consumer 442
S0000054,E001244,chemicals_precursors,FOB,air,356,pcs,INV928140,DESC chemicals_precursors 734
S0000055,E001568,machine_tools,FOB,sea,378,L,INV774943,DESC machine_tools 60
S0000056,E000136,aerospace_uas_avionics,FOB,sea,182,pcs,INV278054,DESC aerospace_uas_avionics 729
S0000057,E001202,machine_tools,DAP,road,336,kg,INV226481,DESC machine_tools 696
S0000058,E000606,machine_tools,FOB,sea,270,L,INV338140,DESC machine_tools 510
S0000059,E001573,luxury_dual_use_consumer,DAP,road,436,pcs,INV179044,DESC luxury_dual_use_consumer 579
S0000060,E000305,aerospace_uas_avionics,DAP,sea,281,kg,INV539031,DESC aerospace_uas_avionics 73
S0000061,E001449,luxury_dual_use_consumer,CIF,air,479,pcs,INV980179,DESC luxury_dual_use_consumer 57
S0000062,E001245,aerospace_uas_avionics,CIF,air,276,pcs,INV450880,DESC aerospace_uas_avionics 750
S0000063,E000695,aerospace_uas_avionics,FOB,air,251,L,INV941966,DESC aerospace_uas_avionics 804
S0000064,E000411,medical_bio_lab,CIF,air,383,L,INV476871,DESC medical_bio_lab 931
S0000065,E000005,maritime_port_equipment,CIF,sea,47,kg,INV523291,DESC maritime_port_equipment 180
S0000066,E001596,medical_bio_lab,FOB,road,279,L,INV316575,DESC medical_bio_lab 760
S0000067,E000242,maritime_port_equipment,DAP,sea,206,pcs,INV678997,DESC maritime_port_equipment 655
S0000068,E000088,energy_equipment,DAP,road,50,pcs,INV738716,DESC energy_equipment 987
S0000069,E000085,medical_bio_lab,FOB,road,235,kg,INV872628,DESC medical_bio_lab 495
S0000070,E001169,medical_bio_lab,DAP,road,25,pcs,INV736763,DESC medical_bio_lab 418
S0000071,E001656,medical_bio_lab,CIF,air,333,pcs,INV966180,DESC medical_bio_lab 654
S0000072,E001564,luxury_dual_use_consumer,FOB,air,62,kg,INV476901,DESC luxury_dual_use_consumer 906
S0000073,E001045,medical_bio_lab,FOB,road,208,kg,INV346358,DESC medical_bio_lab 289
S0000074,E001042,medical_bio_lab,DAP,sea,177,pcs,INV183108,DESC medical_bio_lab 14
S0000075,E001158,medical_bio_lab,CIF,air,72,L,INV474180,DESC medical_bio_lab 578
S0000076,E001791,luxury_dual_use_consumer,CIF,sea,271,pcs,INV464983,DESC luxury_dual_use_consumer 572
S0000077,E001800,aerospace_uas_avionics,CIF,road,225,pcs,INV382617,DESC aerospace_uas_avionics 321
S0000078,E001041,maritime_port_equipment,FOB,air,489,L,INV333835,DESC maritime_port_equipment 187
S0000079,E000374,energy_equipment,CIF,air,210,pcs,INV214762,DESC energy_equipment 748
S0000080,E000686,chemicals_precursors,CIF,air,145,pcs,INV817513,DESC chemicals_precursors 329
S0000081,E000452,chemicals_precursors,DAP,air,439,pcs,INV499070,DESC chemicals_precursors 868
S0000082,E000454,machine_tools,FOB,air,194,L,INV154861,DESC machine_tools 83
S0000083,E001072,machine_tools,CIF,air,93,L,INV982102,DESC machine_tools 344
S0000084,E001693,machine_tools,CIF,sea,493,pcs,INV980651,DESC machine_tools 839
S0000085,E001062,luxury_dual_use_consumer,FOB,sea,457,L,INV592293,DESC luxury_dual_use_consumer 196
S0000086,E001563,chemicals_precursors,CIF,air,6,pcs,INV793516,DESC chemicals_precursors 446
S0000087,E001869,energy_equipment,FOB,road,232,pcs,INV147528,DESC energy_equipment 15
S0000088,E001454,machine_tools,FOB,sea,308,pcs,INV191335,DESC machine_tools 496
S0000089,E000055,chemicals_precursors,FOB,air,338,L,INV328727,DESC chemicals_precursors 76
S0000090,E001733,luxury_dual_use_consumer,DAP,road,94,pcs,INV849538,DESC luxury_dual_use_consumer 44
S0000091,E001299,luxury_dual_use_consumer,FOB,road,224,L,INV198970,DESC luxury_dual_use_consumer 671
S0000092,E000887,maritime_port_equipment,CIF,sea,244,kg,INV779990,DESC maritime_port_equipment 730
S0000093,E000054,energy_equipment,DAP,air,141,pcs,INV702683,DESC energy_equipment 638
S0000094,E000863,machine_tools,CIF,air,151,kg,INV324222,DESC machine_tools 930
S0000095,E001337,aerospace_uas_avionics,FOB,road,388,L,INV657471,DESC aerospace_uas_avionics 733
S0000096,E000109,medical_bio_lab,CIF,road,43,kg,INV563444,DESC medical_bio_lab 325
S0000097,E001382,aerospace_uas_avionics,CIF,sea,4,pcs,INV601741,DESC aerospace_uas_avionics 726
S0000098,E000897,machine_tools,CIF,road,209,pcs,INV904346,DESC machine_tools 625
S0000099,E001796,medical_bio_lab,FOB,sea,173,kg,INV200299,DESC medical_bio_lab 102
S0000100,E001186,aerospace_uas_avionics,CIF,road,381,kg,INV335585,DESC aerospace_uas_avionics 255
S0000101,E000746,aerospace_uas_avionics,FOB,air,176,L,INV874593,DESC aerospace_uas_avionics 421
S0000102,E000930,aerospace_uas_avionics,CIF,road,406,kg,INV988607,DESC aerospace_uas_avionics 639
S0000103,E001855,maritime_port_equipment,CIF,air,233,L,INV129006,DESC maritime_port_equipment 242
S0000104,E001052,aerospace_uas_avionics,FOB,air,419,L,INV708263,DESC aerospace_uas_avionics 17
S0000105,E000993,luxury_dual_use_consumer,CIF,road,293,L,INV807756,DESC luxury_dual_use_consumer 256
S0000106,E001242,chemicals_precursors,CIF,sea,302,pcs,INV583927,DESC chemicals_precursors 949
S0000107,E001324,luxury_dual_use_consumer,DAP,road,412,pcs,INV141873,DESC luxury_dual_use_consumer 826
S0000108,E001722,luxury_dual_use_consumer,FOB,road,279,pcs,INV381562,DESC luxury_dual_use_consumer 991
S0000109,E000369,medical_bio_lab,DAP,road,318,L,INV971568,DESC medical_bio_lab 992
S0000110,E001444,luxury_dual_use_consumer,CIF,air,360,kg,INV377749,DESC luxury_dual_use_consumer 991
S0000111,E001321,medical_bio_lab,DAP,sea,225,pcs,INV586125,DESC medical_bio_lab 815
S0000112,E000769,machine_tools,CIF,sea,72,L,INV706897,DESC machine_tools 609
S0000113,E001036,aerospace_uas_avionics,FOB,road,412,kg,INV823761,DESC aerospace_uas_avionics 786
S0000114,E001729,luxury_dual_use_consumer,DAP,road,22,pcs,INV410231,DESC luxury_dual_use_consumer 140
S0000115,E001066,maritime_port_equipment,CIF,road,211,kg,INV351945,DESC maritime_port_equipment 481
S0000116,E000035,luxury_dual_use_consumer,CIF,sea,149,L,INV682576,DESC luxury_dual_use_consumer 851
S0000117,E000450,luxury_dual_use_consumer,FOB,sea,312,pcs,INV412090,DESC luxury_dual_use_consumer 383
S0000118,E001684,maritime_port_equipment,DAP,road,452,pcs,INV636877,DESC maritime_port_equipment 822
S0000119,E001992,machine_tools,CIF,air,241,L,INV383143,DESC machine_tools 628
S0000120,E001398,medical_bio_lab,DAP,sea,158,kg,INV172384,DESC medical_bio_lab 368
S0000121,E001531,aerospace_uas_avionics,DAP,air,459,kg,INV857465,DESC aerospace_uas_avionics 426
S0000122,E001710,chemicals_precursors,CIF,road,34,kg,INV821836,DESC chemicals_precursors 37
S0000123,E000393,machine_tools,FOB,road,162,pcs,INV459741,DESC machine_tools 660
S0000124,E000470,energy_equipment,FOB,sea,452,L,INV126442,DESC energy_equipment 185
S0000125,E001312,luxury_dual_use_consumer,DAP,road,13,kg,INV713241,DESC luxury_dual_use_consumer 869
S0000126,E001504,chemicals_precursors,CIF,air,388,pcs,INV529893,DESC chemicals_precursors 95
S0000127,E001323,medical_bio_lab,FOB,sea,175,pcs,INV919105,DESC medical_bio_lab 275
S0000128,E001548,aerospace_uas_avionics,FOB,road,37,pcs,INV572475,DESC aerospace_uas_avionics 716
S0000129,E001122,machine_tools,CIF,air,229,L,INV778324,DESC machine_tools 353
S0000130,E001633,maritime_port_equipment,CIF,road,90,kg,INV729502,DESC maritime_port_equipment 338
S0000131,E000675,chemicals_precursors,CIF,air,94,kg,INV358819,DESC chemicals_precursors 659
S0000132,E001923,chemicals_precursors,CIF,air,330,pcs,INV814487,DESC chemicals_precursors 926
S0000133,E000934,maritime_port_equipment,DAP,air,100,pcs,INV118893,DESC maritime_port_equipment 445
S0000134,E001270,energy_equipment,FOB,road,123,kg,INV344773,DESC energy_equipment 53
S0000135,E000967,machine_tools,DAP,sea,146,pcs,INV597303,DESC machine_tools 20
S0000136,E000522,chemicals_precursors,CIF,sea,413,L,INV605165,DESC chemicals_precursors 398
S0000137,E001394,medical_bio_lab,DAP,air,468,pcs,INV658638,DESC medical_bio_lab 643
S0000138,E001895,machine_tools,DAP,sea,271,kg,INV309176,DESC machine_tools 123
S0000139,E000286,luxury_dual_use_consumer,FOB,air,105,L,INV572528,DESC luxury_dual_use_consumer 103
S0000140,E000615,aerospace_uas_avionics,FOB,sea,287,L,INV251046,DESC aerospace_uas_avionics 662
S0000141,E000665,chemicals_precursors,CIF,sea,330,pcs,INV395674,DESC chemicals_precursors 284
S0000142,E000509,energy_equipment,FOB,air,23,pcs,INV795179,DESC energy_equipment 254
S0000143,E000864,energy_equipment,CIF,sea,413,pcs,INV155672,DESC energy_equipment 306
S0000144,E001131,medical_bio_lab,CIF,air,220,kg,INV720975,DESC medical_bio_lab 766
S0000145,E001590,maritime_port_equipment,CIF,sea,40,pcs,INV387766,DESC maritime_port_equipment 979
S0000146,E001766,aerospace_uas_avionics,CIF,sea,346,kg,INV141441,DESC aerospace_uas_avionics 562
S0000147,E001790,medical_bio_lab,FOB,air,25,L,INV557767,DESC medical_bio_lab 965
S0000148,E001676,aerospace_uas_avionics,DAP,air,207,kg,INV133315,DESC aerospace_uas_avionics 774
S0000149,E000699,medical_bio_lab,FOB,sea,272,kg,INV382258,DESC medical_bio_lab 597
S0000150,E000571,luxury_dual_use_consumer,DAP,air,398,L,INV921069,DESC luxury_dual_use_consumer 485
S0000151,E001359,luxury_dual_use_consumer,DAP,road,438,L,INV366016,DESC luxury_dual_use_consumer 85
S0000152,E000354,energy_equipment,DAP,sea,50,pcs,INV392463,DESC energy_equipment 979
S0000153,E000597,maritime_port_equipment,DAP,road,357,L,INV792937,DESC maritime_port_equipment 730
S0000154,E001561,machine_tools,FOB,road,351,kg,INV203101,DESC machine_tools 306
S0000155,E000228,energy_equipment,FOB,road,120,pcs,INV981126,DESC energy_equipment 812
S0000156,E001177,machine_tools,CIF,sea,489,pcs,INV919179,DESC machine_tools 944
S0000157,E000621,aerospace_uas_avionics,DAP,road,461,L,INV685531,DESC aerospace_uas_avionics 749
S0000158,E000399,luxury_dual_use_consumer,CIF,sea,223,pcs,INV748843,DESC luxury_dual_use_consumer 24
S0000159,E000518,aerospace_uas_avionics,DAP,sea,157,kg,INV176345,DESC aerospace_uas_avionics 315
S0000160,E001484,machine_tools,FOB,sea,256,pcs,INV491543,DESC machine_tools 159
S0000161,E000633,aerospace_uas_avionics,FOB,road,321,pcs,INV484486,DESC aerospace_uas_avionics 74
S0000162,E001794,machine_tools,DAP,sea,14,pcs,INV319461,DESC machine_tools 918
S0000163,E001345,chemicals_precursors,DAP,sea,438,L,INV629508,DESC chemicals_precursors 539
S0000164,E001020,chemicals_precursors,DAP,road,103,kg,INV720872,DESC chemicals_precursors 990
S0000165,E001469,chemicals_precursors,FOB,air,257,L,INV436459,DESC chemicals_precursors 607
S0000166,E001071,medical_bio_lab,FOB,sea,343,kg,INV130650,DESC medical_bio_lab 716
S0000167,E001433,chemicals_precursors,DAP,sea,173,L,INV196775,DESC chemicals_precursors 889
S0000168,E000901,aerospace_uas_avionics,FOB,sea,337,kg,INV639798,DESC aerospace_uas_avionics 699
S0000169,E001499,medical_bio_lab,DAP,sea,470,L,INV322049,DESC medical_bio_lab 791
S0000170,E001282,maritime_port_equipment,CIF,road,287,pcs,INV120789,DESC maritime_port_equipment 653
S0000171,E000132,chemicals_precursors,DAP,road,179,kg,INV294312,DESC chemicals_precursors 801
S0000172,E000673,chemicals_precursors,FOB,air,387,L,INV935102,DESC chemicals_precursors 814
S0000173,E000889,energy_equipment,CIF,sea,308,L,INV853332,DESC energy_equipment 368
S0000174,E001159,energy_equipment,DAP,air,169,pcs,INV869925,DESC energy_equipment 350
S0000175,E001356,energy_equipment,CIF,road,176,L,INV846197,DESC energy_equipment 834
S0000176,E001400,energy_equipment,DAP,air,375,kg,INV221132,DESC energy_equipment 486
S0000177,E001879,luxury_dual_use_consumer,CIF,sea,176,L,INV130216,DESC luxury_dual_use_consumer 227
S0000178,E001818,energy_equipment,DAP,sea,130,kg,INV896873,DESC energy_equipment 386
S0000179,E001057,maritime_port_equipment,FOB,sea,318,kg,INV513536,DESC maritime_port_equipment 845
S0000180,E001654,aerospace_uas_avionics,CIF,road,164,L,INV596711,DESC aerospace_uas_avionics 932
S0000181,E001356,chemicals_precursors,CIF,sea,342,L,INV198826,DESC chemicals_precursors 36
S0000182,E000810,energy_equipment,CIF,air,46,kg,INV630917,DESC energy_equipment 224
S0000183,E000913,luxury_dual_use_consumer,FOB,road,359,pcs,INV771565,DESC luxury_dual_use_consumer 448
S0000184,E001139,chemicals_precursors,CIF,air,276,pcs,INV925354,DESC chemicals_precursors 577
S0000185,E000572,medical_bio_lab,DAP,sea,369,L,INV585178,DESC medical_bio_lab 214
S0000186,E000821,maritime_port_equipment,CIF,air,472,L,INV651989,DESC maritime_port_equipment 966
S0000187,E001099,energy_equipment,FOB,road,147,pcs,INV266427,DESC energy_equipment 506
S0000188,E001912,aerospace_uas_avionics,FOB,sea,17,L,INV938803,DESC aerospace_uas_avionics 754
S0000189,E001948,maritime_port_equipment,FOB,road,154,L,INV897817,DESC maritime_port_equipment 642
S0000190,E000863,machine_tools,CIF,road,85,kg,INV823869,DESC machine_tools 808
S0000191,E000493,machine_tools,CIF,road,147,L,INV636503,DESC machine_tools 27
S0000192,E000402,machine_tools,FOB,road,245,pcs,INV481524,DESC machine_tools 186
S0000193,E001347,medical_bio_lab,DAP,air,59,pcs,INV940314,DESC medical_bio_lab 271
S0000194,E001550,maritime_port_equipment,DAP,sea,247,L,INV502902,DESC maritime_port_equipment 264
S0000195,E001683,medical_bio_lab,CIF,road,157,kg,INV475013,DESC medical_bio_lab 924
S0000196,E001339,energy_equipment,CIF,sea,171,L,INV384302,DESC energy_equipment 302
S0000197,E000002,aerospace_uas_avionics,DAP,air,225,kg,INV567877,DESC aerospace_uas_avionics 75
S0000198,E000755,medical_bio_lab,DAP,sea,80,pcs,INV424890,DESC medical_bio_lab 737
S0000199,E000843,machine_tools,FOB,sea,340,L,INV798563,DESC machine_tools 896
S0000200,E001233,luxury_dual_use_consumer,DAP,air,421,L,INV309168,DESC luxury_dual_use_consumer 89
S0000201,E000824,luxury_dual_use_consumer,DAP,sea,167,pcs,INV755062,DESC luxury_dual_use_consumer 845
S0000202,E000009,luxury_dual_use_consumer,FOB,sea,119,pcs,INV211751,DESC luxury_dual_use_consumer 838
S0000203,E000265,energy_equipment,FOB,road,427,pcs,INV493255,DESC energy_equipment 629
S0000204,E001457,maritime_port_equipment,CIF,sea,96,kg,INV896172,DESC maritime_port_equipment 655
S0000205,E000528,energy_equipment,DAP,road,95,L,INV377863,DESC energy_equipment 118
S0000206,E000922,medical_bio_lab,DAP,sea,438,kg,INV723225,DESC medical_bio_lab 405
S0000207,E001829,chemicals_precursors,DAP,sea,310,L,INV763990,DESC chemicals_precursors 455
S0000208,E000868,maritime_port_equipment,CIF,road,484,L,INV871555,DESC maritime_port_equipment 840
S0000209,E001895,maritime_port_equipment,FOB,air,67,L,INV323652,DESC maritime_port_equipment 811
S0000210,E001395,maritime_port_equipment,DAP,road,240,pcs,INV165662,DESC maritime_port_equipment 326
S0000211,E001063,chemicals_precursors,CIF,air,146,L,INV111521,DESC chemicals_precursors 129
S0000212,E001958,energy_equipment,CIF,air,77,L,INV990531,DESC energy_equipment 379
S0000213,E000998,energy_equipment,CIF,sea,344,pcs,INV973818,DESC energy_equipment 541
S0000214,E000414,machine_tools,DAP,air,377,kg,INV507504,DESC machine_tools 698
S0000215,E000608,energy_equipment,FOB,road,396,pcs,INV848916,DESC energy_equipment 296
S0000216,E001842,energy_equipment,FOB,road,238,kg,INV362023,DESC energy_equipment 723
S0000217,E000681,machine_tools,DAP,road,82,pcs,INV444325,DESC machine_tools 450
S0000218,E001258,machine_tools,FOB,air,390,pcs,INV305231,DESC machine_tools 175
S0000219,E001982,maritime_port_equipment,DAP,sea,331,pcs,INV655208,DESC maritime_port_equipment 473
S0000220,E001840,energy_equipment,DAP,road,497,L,INV194824,DESC energy_equipment 158
S0000221,E001413,chemicals_precursors,CIF,road,394,kg,INV425810,DESC chemicals_precursors 803
S0000222,E001503,chemicals_precursors,FOB,air,55,kg,INV362585,DESC chemicals_precursors 705
S0000223,E001089,energy_equipment,CIF,sea,9,pcs,INV214460,DESC energy_equipment 461
S0000224,E000369,luxury_dual_use_consumer,CIF,road,437,kg,INV828952,DESC luxury_dual_use_consumer 539
S0000225,E001669,luxury_dual_use_consumer,FOB,road,20,kg,INV507504,DESC luxury_dual_use_consumer 49
S0000226,E001900,aerospace_uas_avionics,FOB,road,270,kg,INV670283,DESC aerospace_uas_avionics 342
S0000227,E000859,luxury_dual_use_consumer,CIF,road,407,pcs,INV921432,DESC luxury_dual_use_consumer 577
S0000228,E000985,energy_equipment,CIF,air,144,pcs,INV186177,DESC energy_equipment 433
S0000229,E001026,maritime_port_equipment,CIF,sea,66,pcs,INV541014,DESC maritime_port_equipment 269
S0000230,E001983,maritime_port_equipment,FOB,sea,199,kg,INV745227,DESC maritime_port_equipment 734
S0000231,E000931,luxury_dual_use_consumer,FOB,sea,61,L,INV617042,DESC luxury_dual_use_consumer 5
S0000232,E001325,aerospace_uas_avionics,DAP,air,413,L,INV248273,DESC aerospace_uas_avionics 684
S0000233,E001167,aerospace_uas_avionics,FOB,sea,364,L,INV419972,DESC aerospace_uas_avionics 770
S0000234,E000269,medical_bio_lab,DAP,road,372,kg,INV726900,DESC medical_bio_lab 701
S0000235,E000660,energy_equipment,CIF,sea,457,pcs,INV298602,DESC energy_equipment 113
S0000236,E000983,machine_tools,DAP,sea,306,L,INV549068,DESC machine_tools 699
S0000237,E001063,machine_tools,FOB,sea,389,L,INV825751,DESC machine_tools 203
S0000238,E000690,aerospace_uas_avionics,DAP,road,359,pcs,INV518464,DESC aerospace_uas_avionics 5
S0000239,E001600,machine_tools,CIF,sea,399,kg,INV657897,DESC machine_tools 289
S0000240,E000918,medical_bio_lab,CIF,road,273,kg,INV155699,DESC medical_bio_lab 70
S0000241,E000036,aerospace_uas_avionics,DAP,sea,313,pcs,INV296806,DESC aerospace_uas_avionics 544
S0000242,E001038,maritime_port_equipment,DAP,air,87,kg,INV146738,DESC maritime_port_equipment 276
S0000243,E001712,aerospace_uas_avionics,FOB,road,193,pcs,INV177188,DESC aerospace_uas_avionics 866
S0000244,E000346,aerospace_uas_avionics,DAP,sea,177,L,INV419443,DESC aerospace_uas_avionics 788
S0000245,E000235,chemicals_precursors,DAP,sea,338,kg,INV985962,DESC chemicals_precursors 334
S0000246,E001306,maritime_port_equipment,DAP,sea,84,pcs,INV612763,DESC maritime_port_equipment 134
S0000247,E001487,luxury_dual_use_consumer,FOB,sea,118,pcs,INV490462,DESC luxury_dual_use_consumer 367
S0000248,E001770,chemicals_precursors,CIF,air,493,L,INV567250,DESC chemicals_precursors 417
S0000249,E000152,luxury_dual_use_consumer,CIF,air,204,kg,INV194571,DESC luxury_dual_use_consumer 356
S0000250,E001643,luxury_dual_use_consumer,CIF,air,150,pcs,INV824269,DESC luxury_dual_use_consumer 930
S0000251,E001408,energy_equipment,DAP,road,420,kg,INV264713,DESC energy_equipment 178
S0000252,E001685,medical_bio_lab,FOB,road,125,L,INV933373,DESC medical_bio_lab 387
S0000253,E000126,machine_tools,DAP,road,105,pcs,INV302717,DESC machine_tools 394
S0000254,E001413,luxury_dual_use_consumer,FOB,air,392,pcs,INV634295,DESC luxury_dual_use_consumer 590
S0000255,E001699,maritime_port_equipment,DAP,road,166,pcs,INV136182,DESC maritime_port_equipment 66
S0000256,E000622,energy_equipment,CIF,sea,370,L,INV314432,DESC energy_equipment 666
S0000257,E000838,energy_equipment,CIF,sea,102,pcs,INV422121,DESC energy_equipment 42
S0000258,E001282,luxury_dual_use_consumer,FOB,sea,80,kg,INV813677,DESC luxury_dual_use_consumer 513
S0000259,E000157,energy_equipment,DAP,road,43,kg,INV159961,DESC energy_equipment 118
S0000260,E000272,maritime_port_equipment,CIF,sea,107,L,INV154977,DESC maritime_port_equipment 426
S0000261,E000844,machine_tools,FOB,road,355,pcs,INV904850,DESC machine_tools 163
S0000262,E000691,aerospace_uas_avionics,FOB,road,465,pcs,INV542190,DESC aerospace_uas_avionics 844
S0000263,E000158,chemicals_precursors,FOB,sea,311,pcs,INV503917,DESC chemicals_precursors 556
S0000264,E000950,energy_equipment,CIF,air,182,L,INV390419,DESC energy_equipment 483
S0000265,E000247,luxury_dual_use_consumer,CIF,road,325,pcs,INV223143,DESC luxury_dual_use_consumer 664
S0000266,E000424,energy_equipment,DAP,sea,404,pcs,INV583990,DESC energy_equipment 894
S0000267,E000635,medical_bio_lab,CIF,air,279,pcs,INV221304,DESC medical_bio_lab 319
S0000268,E000872,aerospace_uas_avionics,CIF,road,476,kg,INV971065,DESC aerospace_uas_avionics 883
S0000269,E001822,medical_bio_lab,DAP,sea,264,kg,INV373909,DESC medical_bio_lab 727
S0000270,E000944,aerospace_uas_avionics,DAP,air,69,pcs,INV417409,DESC aerospace_uas_avionics 176
S0000271,E000554,chemicals_precursors,DAP,road,382,L,INV928708,DESC chemicals_precursors 855
S0000272,E001506,chemicals_precursors,CIF,sea,130,L,INV388422,DESC chemicals_precursors 323
S0000273,E000871,energy_equipment,FOB,air,216,L,INV660882,DESC energy_equipment 41
S0000274,E001461,aerospace_uas_avionics,CIF,air,30,pcs,INV932175,DESC aerospace_uas_avionics 414
S0000275,E001686,energy_equipment,CIF,sea,285,pcs,INV240002,DESC energy_equipment 853
S0000276,E000967,machine_tools,FOB,air,40,pcs,INV383682,DESC machine_tools 410
S0000277,E000130,chemicals_precursors,FOB,road,344,pcs,INV840966,DESC chemicals_precursors 108
S0000278,E001861,chemicals_precursors,CIF,road,59,pcs,INV969725,DESC chemicals_precursors 872
S0000279,E001404,energy_equipment,DAP,road,180,pcs,INV885596,DESC energy_equipment 266
S0000280,E000504,maritime_port_equipment,FOB,sea,269,pcs,INV262038,DESC maritime_port_equipment 4
S0000281,E000224,machine_tools,DAP,air,347,L,INV289999,DESC machine_tools 311
