tender_id,buyer_id,awardee_id,domain,value
T000140,E000727,E001280,energy_equipment,2547008
T000141,E000107,E000252,aerospace_uas_avionics,1926456
T000142,E000867,E000724,procurement,887160
T000143,E000275,E001831,aerospace_uas_avionics,1035591
T000144,E000085,E000621,medical_bio_lab,1785162
T000145,E000162,E001790,procurement,2862076
T000146,E000087,E001233,maritime_port_equipment,4003218
T000147,E001248,E000410,services,3798801
T000148,E000819,E001941,finance_signals,2403933
T000149,E000211,E001063,machine_tools,3862053
T000150,E000171,E000021,luxury_dual_use_consumer,4478827
T000151,E000856,E000507,energy_equipment,1013359
T000152,E000058,E000195,intangibles,4847284
T000153,E000432,E000087,services,3098308
T000154,E001014,E001236,intangibles,777722
T000155,E001457,E001212,maritime_port_equipment,4643884
T000156,E001851,E001604,services,2654659
T000157,E000690,E000335,energy_equipment,298700
T000158,E001489,E001540,maritime_port_equipment,3137103
T000159,E001928,E001466,luxury_dual_use_consumer,412084
T000160,E000287,E000907,medical_bio_lab,3372374
T000161,E000603,E001383,luxury_dual_use_consumer,721343
T000162,E001906,E001668,research_links,2468818
T000163,E001224,E000973,procurement,4012666
T000164,E001886,E001972,services,4680959
T000165,E000278,E001094,intangibles,2169753
T000166,E001872,E001306,finance_signals,1453990
T000167,E000243,E001034,finance_signals,2461730
T000168,E001599,E000221,intangibles,3853266
T000169,E000025,E000482,luxury_dual_use_consumer,49942
T000170,E001600,E001236,procurement,322428
T000171,E001815,E001190,services,2679773
T000172,E001227,E001668,intangibles,516267
T000173,E001050,E001957,maritime_port_equipment,4856818
T000174,E001045,E000017,maritime_port_equipment,2277775
T000175,E000699,E000304,aerospace_uas_avionics,4360082
T000176,E001779,E000248,energy_equipment,705410
T000177,E000420,E000113,energy_equipment,1538210
T000178,E000864,E000044,intangibles,3643713
T000179,E000899,E001858,procurement,1815902
T000180,E001766,E000558,intangibles,2728870
T000181,E000624,E000521,intangibles,3613176
T000182,E001493,E000545,procurement,2852391
T000183,E000762,E001811,machine_tools,148524
T000184,E000250,E001499,services,4083463
T000185,E001868,E001259,chemicals_precursors,1437461
T000186,E000056,E000823,aerospace_uas_avionics,4345810
T000187,E001884,E001555,luxury_dual_use_consumer,2907027
T000188,E000968,E000355,chemicals_precursors,2795007
T000189,E000238,E000668,maritime_port_equipment,4681293
T000190,E001606,E000040,services,2595765
T000191,E001989,E001868,energy_equipment,889327
T000192,E000871,E001457,energy_equipment,1460364
T000193,E001315,E001240,chemicals_precursors,1161042
T000194,E001723,E001133,energy_equipment,4700498
T000195,E001459,E000333,luxury_dual_use_consumer,1490990
T000196,E001397,E000477,aerospace_uas_avionics,1587744
T000197,E001842,E000497,finance_signals,926985
T000198,E001050,E000667,finance_signals,1467570
T000199,E001623,E001981,services,3021803
T000200,E001621,E000501,maritime_port_equipment,4676830
T000201,E000177,E001663,medical_bio_lab,3136177
T000202,E000353,E001908,aerospace_uas_avionics,2209220
T000203,E000970,E000991,maritime_port_equipment,2208260
T000204,E001082,E001258,energy_equipment,3604010
T000205,E000743,E001033,luxury_dual_use_consumer,3649693
T000206,E000821,E001120,services,4411477
T000207,E001686,E001021,services,676488
T000208,E001095,E001099,finance_signals,4463374
T000209,E000456,E000693,machine_tools,2830151
T000210,E001880,E001905,luxury_dual_use_consumer,552269
T000211,E001387,E000627,intangibles,3161806
T000212,E001636,E001810,procurement,2899174
T000213,E000046,E000198,aerospace_uas_avionics,1498349
T000214,E001523,E000363,intangibles,48842
T000215,E001720,E000324,machine_tools,2559197
T000216,E001150,E000135,machine_tools,3581875
T000217,E001412,E001707,aerospace_uas_avionics,1964683
T000218,E001323,E000475,procurement,574353
T000219,E001008,E001136,luxury_dual_use_consumer,896179
T000220,E000039,E000901,aerospace_uas_avionics,2696753
T000221,E001075,E001739,services,3929394
T000222,E001233,E000505,research_links,1040983
T000223,E000117,E001349,research_links,1375921
T000224,E000731,E001602,finance_signals,2481217
T000225,E001180,E001987,procurement,2405568
T000226,E001025,E000567,medical_bio_lab,1601434
T000227,E001456,E000836,procurement,1101959
T000228,E001572,E000732,aerospace_uas_avionics,3217214
T000229,E000046,E000784,maritime_port_equipment,3450909
T000230,E000962,E001442,research_links,2112111
T000231,E000416,E000418,research_links,2006889
T000232,E000125,E001833,medical_bio_lab,2710586
T000233,E001879,E001359,services,257651
T000234,E001267,E000755,aerospace_uas_avionics,3175014
T000235,E001368,E001889,research_links,2174701
T000236,E000570,E001796,chemicals_precursors,3275335
T000237,E000066,E001807,chemicals_precursors,1328428
T000238,E001516,E000078,research_links,4877739
T000239,E000931,E000585,maritime_port_equipment,4860539
T000240,E001550,E001256,medical_bio_lab,2264410
T000241,E001849,E000191,services,2529070
T000242,E000813,E001466,procurement,3768487
T000243,E001777,E001087,luxury_dual_use_consumer,162778
T000244,E000924,E000331,services,2684922
T000245,E001619,E001847,luxury_dual_use_consumer,2575012
T000246,E000745,E000811,services,2358637
T000247,E000175,E001688,procurement,3216275
T000248,E000073,E001116,procurement,4139675
T000249,E000357,E001942,machine_tools,751836
T000250,E001020,E000080,finance_signals,4412155
T000251,E001898,E001778,intangibles,27223
T000252,E000437,E000844,medical_bio_lab,513857
T000253,E001412,E000411,services,4715657
T000254,E000364,E001223,aerospace_uas_avionics,4224964
T000255,E001934,E001859,medical_bio_lab,4923731
T000256,E001258,E000543,services,3642864
T000257,E001192,E001535,luxury_dual_use_consumer,61557
T000258,E000891,E000614,medical_bio_lab,4804702
T000259,E001654,E001334,procurement,142849
T000260,E000220,E001488,luxury_dual_use_consumer,1004534
T000261,E001562,E000664,aerospace_uas_avionics,2055913
T000262,E000028,E001900,energy_equipment,2511028
T000263,E000137,E000242,research_links,178992
T000264,E001477,E001857,luxury_dual_use_consumer,1331422
T000265,E001394,E000073,services,549118
T000266,E000151,E000571,research_links,3512590
T000267,E000604,E000360,finance_signals,4459758
T000268,E001240,E001659,finance_signals,217264
T000269,E001445,E000251,aerospace_uas_avionics,4426288
T000270,E001283,E000255,research_links,2389789
T000271,E001808,E000018,intangibles,1797553
T000272,E000997,E001376,research_links,4767585
T000273,E000559,E000535,finance_signals,1908003
T000274,E001894,E000426,chemicals_precursors,4458250
T000275,E001215,E000271,procurement,4338867
T000276,E001645,E001691,aerospace_uas_avionics,2871636
T000277,E000861,E000493,services,4787034
T000278,E001614,E001520,intangibles,1289680
T000279,E000094,E000660,services,2069250
T000280,E000081,E000301,finance_signals,790083
T000281,E000868,E001347,finance_signals,2649846
T000282,E001110,E001878,energy_equipment,1030131
T000283,E000335,E000113,services,2465836
T000284,E000909,E000683,chemicals_precursors,3529903
T000285,E001582,E001983,research_links,1916083
T000286,E001319,E001708,intangibles,3667477
T000287,E001948,E001088,medical_bio_lab,1458991
T000288,E000904,E000194,energy_equipment,1496439
T000289,E000180,E000327,chemicals_precursors,1728731
T000290,E000098,E001627,research_links,3454769
T000291,E000610,E001120,procurement,3327106
T000292,E000656,E000464,procurement,2474701
T000293,E001605,E001502,medical_bio_lab,4769010
T000294,E001954,E001898,luxury_dual_use_consumer,244605
T000295,E001014,E001379,aerospace_uas_avionics,929489
T000296,E001427,E000428,services,2824738
T000297,E001230,E001973,maritime_port_equipment,2455443
T000298,E000521,E000828,chemicals_precursors,277366
T000299,E000491,E000264,aerospace_uas_avionics,305042
T000300,E001219,E000382,services,1416686
T000301,E001379,E000935,machine_tools,1533726
T000302,E000312,E000608,machine_tools,4145653
T000303,E001503,E001131,services,4653872
T000304,E000542,E000266,luxury_dual_use_consumer,4003657
T000305,E001386,E001589,luxury_dual_use_consumer,3663988
T000306,E000332,E000718,energy_equipment,3446706
T000307,E000780,E001966,medical_bio_lab,384047
T000308,E001697,E001410,maritime_port_equipment,2499146
T000309,E001550,E000984,maritime_port_equipment,2706599
T000310,E000170,E001099,energy_equipment,366190
T000311,E000917,E000763,intangibles,985213
T000312,E001606,E000587,research_links,1179639
T000313,E000636,E001632,research_links,3436908
T000314,E001991,E001286,services,3561118
T000315,E000824,E000064,luxury_dual_use_consumer,1524355
T000316,E000812,E000360,luxury_dual_use_consumer,4652199
T000317,E000753,E001966,medical_bio_lab,4204290
T000318,E000837,E000537,machine_tools,3235749
T000319,E001657,E000749,finance_signals,1757276
T000320,E000184,E000639,intangibles,141498
T000321,E000009,E000325,services,1763586
T000322,E000781,E000956,maritime_port_equipment,972428
T000323,E001921,E000556,aerospace_uas_avionics,4932810
T000324,E000738,E001096,maritime_port_equipment,4602280
T000325,E000957,E001372,intangibles,2145742
T000326,E000207,E001209,chemicals_precursors,1315208
T000327,E001707,E000104,machine_tools,227182
T000328,E000165,E000613,luxury_dual_use_consumer,2932624
T000329,E000590,E001183,finance_signals,1570451
T000330,E001737,E001594,research_links,3414806
T000331,E001653,E000650,chemicals_precursors,4736355
T000332,E001636,E000990,chemicals_precursors,73748
T000333,E001376,E000776,services,1498563
T000334,E001474,E000728,procurement,954092
T000335,E001231,E000081,maritime_port_equipment,4710117
T000336,E000101,E001463,medical_bio_lab,4851453
T000337,E001358,E000922,maritime_port_equipment,1937208
T000338,E000722,E001328,aerospace_uas_avionics,2885955
T000339,E001321,E001533,procurement,1003613
T000340,E001663,E000443,research_links,1963531
T000341,E000325,E001109,luxury_dual_use_consumer,254710
T000342,E001230,E001267,energy_equipment,1013234
T000343,E001803,E000238,finance_signals,4491501
T000344,E001691,E000920,medical_bio_lab,4345956
T000345,E001614,E000450,maritime_port_equipment,3950130
T000346,E001902,E001690,research_links,750373
T000347,E001790,E001904,machine_tools,390599
T000348,E000227,E001148,services,2918197
T000349,E001886,E000039,chemicals_precursors,2045332
T000350,E001962,E001527,maritime_port_equipment,1045103
T000351,E000401,E000464,luxury_dual_use_consumer,3671414
T000352,E000335,E001577,medical_bio_lab,3397503
T000353,E001293,E001761,maritime_port_equipment,3239330
T000354,E000598,E000984,aerospace_uas_avionics,4730668
T000355,E001433,E000826,energy_equipment,2726213
T000356,E001795,E001171,procurement,2688621
T000357,E001149,E000422,services,378232
T000358,E001338,E001423,services,817162
T000359,E000190,E001780,research_links,4696459
T000360,E000678,E001947,machine_tools,3695790
T000361,E001568,E000122,services,878545
T000362,E000903,E001519,finance_signals,1397660
T000363,E001526,E000617,machine_tools,2832361
T000364,E000706,E000831,energy_equipment,2754873
T000365,E001123,E000048,luxury_dual_use_consumer,4512486
T000366,E000258,E000807,research_links,2415730
T000367,E001786,E000858,luxury_dual_use_consumer,3076836
T000368,E000782,E000207,intangibles,4134059
T000369,E000973,E001843,procurement,166293
T000370,E001366,E001410,aerospace_uas_avionics,3490293
T000371,E001616,E000386,chemicals_precursors,954604
T000372,E001182,E000279,intangibles,4327742
T000373,E001021,E001064,machine_tools,2989490
T000374,E000506,E001442,intangibles,3869373
T000375,E000030,E001188,intangibles,365459
T000376,E001761,E001803,finance_signals,4764481
T000377,E000654,E000422,medical_bio_lab,3665573
T000378,E001393,E000228,chemicals_precursors,221722
T000379,E000357,E000477,maritime_port_equipment,4068127
T000380,E001834,E001801,medical_bio_lab,567896
T000381,E001831,E001804,research_links,4557977
T000382,E001680,E001076,procurement,3675896
T000383,E000496,E000454,medical_bio_lab,639521
T000384,E001644,E000009,maritime_port_equipment,4156377
T000385,E001834,E000092,luxury_dual_use_consumer,4080634
T000386,E000193,E000895,maritime_port_equipment,3367758
T000387,E000087,E000678,luxury_dual_use_consumer,3052638
T000388,E000443,E001222,intangibles,4770985
T000389,E000131,E000585,maritime_port_equipment,3993325
T000390,E000030,E001597,machine_tools,4080543
T000391,E000598,E001955,aerospace_uas_avionics,1214581
T000392,E001383,E000645,finance_signals,2552892
T000393,E000121,E000855,aerospace_uas_avionics,3795618
T000394,E000845,E001342,finance_signals,3604865
T000395,E001076,E001708,aerospace_uas_avionics,2499534
T000396,E000081,E001248,intangibles,704391
T000397,E000749,E000900,intangibles,2211372
T000398,E001708,E001328,chemicals_precursors,1103348
T000399,E000447,E000578,energy_equipment,1631031
T000400,E000266,E000295,maritime_port_equipment,1483862
T000401,E001165,E001918,research_links,3268732
T000402,E001166,E001169,services,3571253
T000403,E000419,E001725,machine_tools,330746
T000404,E000556,E000676,machine_tools,2309812
T000405,E000602,E001648,luxury_dual_use_consumer,1941234
T000406,E001503,E001083,finance_signals,4998027
T000407,E000979,E000893,research_links,811883
T000408,E001268,E000330,intangibles,4720664
T000409,E000547,E001877,research_links,3137802
T000410,E001669,E001002,services,4809890
T000411,E000045,E000025,medical_bio_lab,3829754
T000412,E000358,E001237,finance_signals,397211
T000413,E001045,E001407,machine_tools,2690048
T000414,E000968,E000967,aerospace_uas_avionics,4407893
T000415,E000178,E001110,intangibles,3496206
T000416,E001059,E001126,services,1814153
T000417,E000843,E000417,procurement,2468287
T000418,E001192,E001974,energy_equipment,2805641
T000419,E001532,E001848,research_links,4397536
T000420,E001356,E001691,research_links,1896339
T000421,E001151,E000255,research_links,1277729
T000422,E001086,E001020,finance_signals,691477
T000423,E001482,E000495,intangibles,4311547
T000424,E001017,E000291,maritime_port_equipment,4556669
T000425,E000204,E000845,machine_tools,3648402
T000426,E001230,E001693,research_links,1712112
T000427,E000140,E000336,chemicals_precursors,3363882
T000428,E000950,E001597,procurement,2663214
T000429,E001797,E000603,intangibles,1000652
T000430,E000900,E000226,chemicals_precursors,3318080
T000431,E001903,E000130,research_links,4176572
T000432,E001095,E001125,finance_signals,2184967
T000433,E001667,E001475,luxury_dual_use_consumer,3223041
T000434,E001036,E001577,intangibles,4945232
T000435,E001740,E001428,chemicals_precursors,264027
T000436,E001006,E000762,intangibles,4974155
T000437,E001084,E000923,procurement,4605287
T000438,E000986,E001639,intangibles,4106482
T000439,E001520,E000998,luxury_dual_use_consumer,943528
T000440,E000064,E000764,research_links,1607289
T000441,E001690,E001808,luxury_dual_use_consumer,809453
T000442,E001774,E000536,chemicals_precursors,3654009
T000443,E001906,E000052,finance_signals,808898
T000444,E000083,E000658,chemicals_precursors,2518244
T000445,E001413,E000138,machine_tools,3309655
T000446,E000526,E001614,finance_signals,1630711
T000447,E001288,E001488,procurement,277602
T000448,E000274,E001956,finance_signals,3873107
T000449,E001421,E001544,medical_bio_lab,4962127
T000450,E000654,E001136,machine_tools,4479776
T000451,E000400,E001007,services,1317743
T000452,E000985,E000638,maritime_port_equipment,1285733
T000453,E000119,E000178,finance_signals,1465320
T000454,E001242,E000801,maritime_port_equipment,4112221
T000455,E001252,E000090,procurement,1097926
T000456,E001451,E000349,luxury_dual_use_consumer,3923916
T000457,E000602,E001041,maritime_port_equipment,4541619
T000458,E000975,E000242,finance_signals,2667277
T000459,E000929,E001539,procurement,1773987
T000460,E001135,E000535,aerospace_uas_avionics,4298052
T000461,E000086,E000676,aerospace_uas_avionics,1473730
T000462,E000232,E000231,services,1161152
T000463,E001878,E000693,maritime_port_equipment,2243230
T000464,E001179,E000977,research_links,2654219
T000465,E000047,E001152,procurement,1480708
T000466,E001984,E001525,machine_tools,3544212
T000467,E000550,E001232,finance_signals,1503126
T000468,E001860,E001173,services,4760180
T000469,E000446,E001903,chemicals_precursors,1306530
T000470,E001926,E001093,services,2151633
T000471,E001707,E001525,intangibles,4668913
T000472,E001204,E001791,maritime_port_equipment,4905164
T000473,E000237,E001717,intangibles,2995470
T000474,E000379,E001788,energy_equipment,4787613
T000475,E001008,E000165,intangibles,2878697
T000476,E001410,E000986,intangibles,605264
T000477,E000396,E001453,medical_bio_lab,550292
T000478,E000175,E001416,research_links,529919
T000479,E001546,E001911,intangibles,1403845
T000480,E001237,E000255,services,3007630
T000481,E001677,E000139,research_links,3280047
T000482,E000599,E001572,aerospace_uas_avionics,3994263
T000483,E000136,E000785,aerospace_uas_avionics,250540
T000484,E001957,E001697,intangibles,2056713
T000485,E001183,E001288,services,976733
T000486,E000391,E001370,aerospace_uas_avionics,3504806
T000487,E001888,E000912,research_links,4067784
T000488,E001844,E000778,procurement,1319176
T000489,E000655,E001951,luxury_dual_use_consumer,3746006
T000490,E001174,E001128,medical_bio_lab,2708377
T000491,E000385,E000589,procurement,4128191
T000492,E001173,E001370,aerospace_uas_avionics,2008020
T000493,E000102,E001516,energy_equipment,2419718
T000494,E000793,E001749,medical_bio_lab,713867
T000495,E000874,E001039,maritime_port_equipment,2233142
T000496,E001849,E000031,maritime_port_equipment,2416681
T000497,E000430,E001371,medical_bio_lab,1357791
T000498,E000714,E000931,aerospace_uas_avionics,629089
T000499,E001365,E000498,medical_bio_lab,1728082
T000500,E001291,E001207,procurement,4831207
T000501,E000033,E000970,aerospace_uas_avionics,4785995
T000502,E001101,E001561,machine_tools,495645
T000503,E001144,E001785,luxury_dual_use_consumer,3052245
T000504,E001601,E000955,finance_signals,1534562
T000505,E001816,E000220,maritime_port_equipment,564605
T000506,E000767,E001662,energy_equipment,2403637
T000507,E001833,E001649,aerospace_uas_avionics,1134058
T000508,E001416,E001469,finance_signals,429356
T000509,E001456,E001106,procurement,3361015
T000510,E000797,E000624,finance_signals,240945
T000511,E001743,E001070,aerospace_uas_avionics,773651
T000512,E001064,E001522,finance_signals,1916480
T000513,E000896,E000987,medical_bio_lab,521038
T000514,E001045,E001272,maritime_port_equipment,4828413
T000515,E000160,E001994,maritime_port_equipment,542929
T000516,E000938,E001100,finance_signals,956643
T000517,E000587,E001507,research_links,1856725
T000518,E001527,E000019,aerospace_uas_avionics,946322
T000519,E001734,E000471,intangibles,850774
T000520,E001029,E000944,maritime_port_equipment,4081522
T000521,E000662,E000599,machine_tools,2493769
T000522,E001877,E000090,chemicals_precursors,1251163
T000523,E001349,E001154,procurement,3171984
T000524,E001923,E001324,aerospace_uas_avionics,1907727
T000525,E000781,E000938,intangibles,3163149
T000526,E000707,E001127,finance_signals,2610028
T000527,E001293,E000802,intangibles,3316850
T000528,E000635,E000168,procurement,1290431
T000529,E000103,E000015,medical_bio_lab,3357769
T000530,E000014,E000439,machine_tools,2871793
T000531,E000981,E000575,aerospace_uas_avionics,2521331
T000532,E000398,E000392,energy_equipment,2838052
T000533,E000977,E001482,intangibles,335290
T000534,E000061,E000698,luxury_dual_use_consumer,3701897
T000535,E000142,E001027,aerospace_uas_avionics,4352474
T000536,E000979,E001762,medical_bio_lab,254651
T000537,E000731,E001789,aerospace_uas_avionics,1843499
T000538,E000501,E001168,energy_equipment,658922
T000539,E000665,E000428,machine_tools,347143
T000540,E001373,E000360,luxury_dual_use_consumer,3885016
T000541,E000817,E000045,research_links,4840329
T000542,E000102,E000965,procurement,1388722
T000543,E000236,E000179,finance_signals,1791227
T000544,E001867,E001966,maritime_port_equipment,468470
T000545,E000801,E001566,procurement,2541050
T000546,E001335,E000765,medical_bio_lab,3288079
T000547,E001579,E001494,procurement,1895476
T000548,E000402,E001755,finance_signals,2453093
T000549,E001954,E001876,medical_bio_lab,2716848
T000550,E001072,E001814,intangibles,4847161
T000551,E000460,E001233,energy_equipment,1051049
T000552,E001963,E001910,research_links,4028053
T000553,E000936,E001982,finance_signals,2698293
T000554,E000242,E001326,medical_bio_lab,173028
T000555,E000438,E001623,machine_tools,3227592
T000556,E000069,E000421,aerospace_uas_avionics,2450812
T000557,E001470,E000304,medical_bio_lab,977118
T000558,E001455,E000028,maritime_port_equipment,1794877
T000559,E001879,E001619,maritime_port_equipment,421518
T000560,E000119,E000912,machine_tools,2900060
T000561,E000081,E001603,maritime_port_equipment,3935721
T000562,E000243,E000061,research_links,545434
T000563,E000961,E000315,medical_bio_lab,107824
T000564,E000697,E001840,intangibles,1639991
T000565,E000063,E000649,maritime_port_equipment,3218207
T000566,E000738,E000083,intangibles,512178
T000567,E001195,E001046,services,2878954
T000568,E001735,E001321,intangibles,242483
T000569,E000015,E001418,energy_equipment,3404060
T000570,E000585,E001925,research_links,699610
T000571,E000861,E001573,services,1666502
T000572,E001290,E001172,intangibles,2428912
T000573,E001051,E001617,maritime_port_equipment,3871594
T000574,E000419,E001582,machine_tools,1493884
T000575,E001242,E001924,services,4505997
T000576,E001350,E000133,maritime_port_equipment,1113627
T000577,E000544,E001854,procurement,4111674
T000578,E000633,E001683,procurement,493135
T000579,E000061,E000366,research_links,3080641
T000580,E000734,E000559,procurement,209597
T000581,E000986,E001291,medical_bio_lab,1020233
T000582,E000900,E001876,intangibles,2964574
T000583,E000742,E000485,research_links,533874
T000584,E000645,E000254,medical_bio_lab,1724149
T000585,E001479,E001263,aerospace_uas_avionics,1100606
T000586,E001479,E001820,research_links,2295782
T000587,E001427,E001453,intangibles,61531
T000588,E000272,E000545,finance_signals,2916004
T000589,E001897,E001894,aerospace_uas_avionics,4677684
T000590,E000643,E001871,machine_tools,4190627
T000591,E001190,E001690,luxury_dual_use_consumer,3595856
T000592,E001893,E001980,medical_bio_lab,4752752
T000593,E000846,E001236,procurement,239180
T000594,E000753,E001661,machine_tools,1161990
T000595,E001521,E001969,research_links,1959539
T000596,E000798,E000539,research_links,1497200
T000597,E001768,E000256,chemicals_precursors,2138958
T000598,E001842,E000191,luxury_dual_use_consumer,4912202
T000599,E000503,E001678,intangibles,3588853
T000600,E000827,E000512,medical_bio_lab,2305835
T000601,E000951,E000317,intangibles,2043917
T000602,E001633,E001095,services,4093366
T000603,E001635,E001046,chemicals_precursors,1442774
T000604,E000188,E001088,chemicals_precursors,2008938
T000605,E001546,E000623,intangibles,3366317
T000606,E001369,E000488,services,909477
T000607,E001871,E001796,maritime_port_equipment,3740446
T000608,E000765,E001239,procurement,3246782
T000609,E000206,E000920,finance_signals,1036579
T000610,E001775,E001694,research_links,2892611
T000611,E001067,E000301,procurement,314589
