svc_id,entity_id,kind,hours,notes
SV000058,E001542,engineering,111,notes
SV000059,E001975,contract_mfg,144,notes
SV000060,E001170,contract_mfg,12,notes
SV000061,E000463,contract_mfg,30,notes
SV000062,E000319,contract_mfg,175,notes
SV000063,E001969,maintenance,57,notes
SV000064,E000767,contract_mfg,187,notes
SV000065,E001423,engineering,3,notes
SV000066,E000596,maintenance,6,notes
SV000067,E001873,engineering,71,notes
SV000068,E000459,engineering,191,notes
SV000069,E001890,maintenance,169,notes
SV000070,E001546,engineering,113,notes
SV000071,E001744,contract_mfg,37,notes
SV000072,E000310,maintenance,121,notes
SV000073,E001242,contract_mfg,188,notes
SV000074,E001158,engineering,143,notes
SV000075,E000839,maintenance,129,notes
SV000076,E001347,contract_mfg,123,notes
SV000077,E000590,contract_mfg,29,notes
SV000078,E001771,contract_mfg,125,notes
SV000079,E000149,engineering,171,notes
SV000080,E001889,engineering,72,notes
SV000081,E001870,contract_mfg,75,notes
SV000082,E000494,engineering,106,notes
SV000083,E001224,engineering,193,notes
SV000084,E000345,engineering,83,notes
SV000085,E000806,engineering,58,notes
SV000086,E000859,maintenance,106,notes
SV000087,E001625,maintenance,61,notes
SV000088,E000459,engineering,56,notes
SV000089,E001822,maintenance,109,notes
SV000090,E001463,engineering,132,notes
SV000091,E000637,contract_mfg,41,notes
SV000092,E001163,engineering,181,notes
SV000093,E001356,maintenance,136,notes
SV000094,E001506,maintenance,66,notes
SV000095,E001229,contract_mfg,116,notes
SV000096,E001761,maintenance,34,notes
SV000097,E001887,engineering,151,notes
SV000098,E001400,maintenance,35,notes
SV000099,E001371,maintenance,164,notes
SV000100,E000925,contract_mfg,6,notes
SV000101,E001679,engineering,81,notes
SV000102,E001326,engineering,160,notes
SV000103,E000926,maintenance,109,notes
SV000104,E001405,engineering,80,notes
SV000105,E000639,maintenance,76,notes
SV000106,E001395,engineering,117,notes
SV000107,E001510,contract_mfg,191,notes
SV000108,E000455,engineering,174,notes
SV000109,E000748,maintenance,26,notes
SV000110,E001743,engineering,146,notes
SV000111,E001249,maintenance,12,notes
SV000112,E000796,maintenance,73,notes
SV000113,E001212,maintenance,127,notes
SV000114,E001620,engineering,7,notes
SV000115,E001275,maintenance,131,notes
SV000116,E001972,maintenance,74,notes
SV000117,E001213,maintenance,11,notes
SV000118,E000996,engineering,174,notes
SV000119,E001107,contract_mfg,139,notes
SV000120,E000747,maintenance,95,notes
SV000121,E000334,engineering,112,notes
SV000122,E001186,engineering,92,notes
SV000123,E001809,engineering,113,notes
SV000124,E000583,contract_mfg,196,notes
SV000125,E000924,contract_mfg,171,notes
SV000126,E001609,contract_mfg,78,notes
SV000127,E001896,contract_mfg,120,notes
SV000128,E001116,maintenance,65,notes
SV000129,E001885,contract_mfg,200,notes
SV000130,E000244,engineering,86,notes
SV000131,E000045,maintenance,22,notes
SV000132,E001603,contract_mfg,136,notes
SV000133,E000044,contract_mfg,199,notes
SV000134,E000951,maintenance,44,notes
SV000135,E001428,maintenance,77,notes
SV000136,E001586,engineering,59,notes
SV000137,E001390,engineering,189,notes
SV000138,E001074,maintenance,59,notes
SV000139,E001598,engineering,87,notes
SV000140,E000289,maintenance,31,notes
SV000141,E000978,maintenance,43,notes
SV000142,E000203,engineering,5,notes
SV000143,E000776,maintenance,120,notes
SV000144,E001468,engineering,190,notes
SV000145,E000369,contract_mfg,23,notes
SV000146,E000899,engineering,134,notes
SV000147,E001288,contract_mfg,95,notes
SV000148,E000252,contract_mfg,108,notes
SV000149,E001505,contract_mfg,197,notes
SV000150,E001232,engineering,12,notes
SV000151,E001498,maintenance,42,notes
SV000152,E000601,contract_mfg,152,notes
SV000153,E001077,engineering,91,notes
SV000154,E001582,contract_mfg,64,notes
SV000155,E000070,engineering,28,notes
SV000156,E000397,engineering,20,notes
SV000157,E001261,contract_mfg,3,notes
SV000158,E001695,maintenance,198,notes
SV000159,E000173,contract_mfg,83,notes
SV000160,E000632,maintenance,37,notes
SV000161,E001719,contract_mfg,149,notes
SV000162,E001758,contract_mfg,154,notes
SV000163,E001291,engineering,191,notes
SV000164,E000249,engineering,50,notes
SV000165,E001846,maintenance,115,notes
SV000166,E001675,contract_mfg,11,notes
SV000167,E000605,maintenance,178,notes
SV000168,E001064,maintenance,55,notes
SV000169,E001852,contract_mfg,34,notes
SV000170,E001758,contract_mfg,41,notes
SV000171,E001012,engineering,110,notes
SV000172,E000678,contract_mfg,105,notes
SV000173,E000621,contract_mfg,180,notes
SV000174,E000377,contract_mfg,142,notes
SV000175,E000728,maintenance,36,notes
SV000176,E001587,contract_mfg,200,notes
SV000177,E001127,contract_mfg,184,notes
SV000178,E001744,engineering,167,notes
SV000179,E001937,maintenance,199,notes
SV000180,E000531,engineering,86,notes
SV000181,E001017,engineering,108,notes
SV000182,E000043,contract_mfg,41,notes
SV000183,E000739,maintenance,187,notes
SV000184,E000575,engineering,23,notes
SV000185,E001172,engineering,104,notes
SV000186,E001828,engineering,119,notes
SV000187,E001592,maintenance,96,notes
SV000188,E000355,engineering,161,notes
SV000189,E000088,engineering,54,notes
SV000190,E001751,maintenance,76,notes
SV000191,E001349,engineering,98,notes
SV000192,E001660,maintenance,172,notes
SV000193,E000643,engineering,76,notes
SV000194,E001122,maintenance,177,notes
SV000195,E001293,engineering,173,notes
SV000196,E001637,engineering,173,notes
SV000197,E001187,maintenance,196,notes
SV000198,E000887,engineering,108,notes
SV000199,E000295,engineering,42,notes
SV000200,E000041,maintenance,71,notes
SV000201,E000651,maintenance,76,notes
SV000202,E000361,contract_mfg,38,notes
SV000203,E001179,maintenance,47,notes
SV000204,E001291,contract_mfg,178,notes
SV000205,E001888,contract_mfg,83,notes
SV000206,E000286,maintenance,42,notes
SV000207,E000342,engineering,154,notes
SV000208,E001732,contract_mfg,153,notes
SV000209,E000494,engineering,43,notes
SV000210,E000500,contract_mfg,107,notes
SV000211,E001845,contract_mfg,104,notes
SV000212,E001552,engineering,114,notes
SV000213,E000403,contract_mfg,108,notes
SV000214,E001407,contract_mfg,177,notes
SV000215,E000327,contract_mfg,99,notes
SV000216,E001144,engineering,78,notes
SV000217,E001927,maintenance,47,notes
SV000218,E000098,engineering,128,notes
SV000219,E001593,engineering,184,notes
SV000220,E000036,maintenance,123,notes
SV000221,E000668,engineering,17,notes
SV000222,E000607,contract_mfg,151,notes
SV000223,E000691,contract_mfg,144,notes
SV000224,E001955,contract_mfg,43,notes
SV000225,E000726,contract_mfg,172,notes
SV000226,E000972,maintenance,155,notes
SV000227,E001618,contract_mfg,129,notes
SV000228,E001013,engineering,86,notes
SV000229,E001470,maintenance,16,notes
SV000230,E001122,maintenance,21,notes
SV000231,E001174,contract_mfg,19,notes
SV000232,E000533,engineering,141,notes
SV000233,E001507,engineering,99,notes
SV000234,E001486,maintenance,146,notes
SV000235,E000642,maintenance,42,notes
SV000236,E001518,engineering,52,notes
SV000237,E001472,engineering,96,notes
SV000238,E000898,contract_mfg,186,notes
SV000239,E001807,maintenance,30,notes
SV000240,E001163,contract_mfg,120,notes
SV000241,E001376,contract_mfg,119,notes
SV000242,E000477,engineering,132,notes
SV000243,E000751,maintenance,27,notes
SV000244,E001628,engineering,196,notes
SV000245,E001047,contract_mfg,161,notes
SV000246,E001883,maintenance,181,notes
SV000247,E001734,maintenance,60,notes
SV000248,E001679,contract_mfg,76,notes
SV000249,E001901,maintenance,91,notes
SV000250,E000925,maintenance,70,notes
SV000251,E000952,engineering,131,notes
SV000252,E001272,maintenance,94,notes
SV000253,E000908,contract_mfg,136,notes
SV000254,E001874,contract_mfg,147,notes
SV000255,E001898,engineering,187,notes
SV000256,E001602,engineering,5,notes
SV000257,E000413,engineering,141,notes
SV000258,E000228,contract_mfg,176,notes
SV000259,E001212,contract_mfg,24,notes
SV000260,E000826,contract_mfg,20,notes
SV000261,E001744,engineering,42,notes
SV000262,E001385,contract_mfg,72,notes
SV000263,E001021,contract_mfg,68,notes
SV000264,E000056,engineering,38,notes
SV000265,E001757,contract_mfg,31,notes
SV000266,E001748,contract_mfg,132,notes
SV000267,E000113,maintenance,143,notes
SV000268,E000626,engineering,55,notes
SV000269,E001814,contract_mfg,73,notes
SV000270,E001338,contract_mfg,8,notes
SV000271,E000313,maintenance,12,notes
SV000272,E000547,engineering,77,notes
SV000273,E001012,contract_mfg,138,notes
SV000274,E000802,contract_mfg,138,notes
SV000275,E001856,contract_mfg,73,notes
SV000276,E001879,engineering,199,notes
SV000277,E001226,engineering,130,notes
SV000278,E000379,engineering,78,notes
SV000279,E000981,maintenance,95,notes
SV000280,E000768,contract_mfg,97,notes
SV000281,E001974,maintenance,40,notes
SV000282,E000604,contract_mfg,47,notes
SV000283,E000176,contract_mfg,18,notes
SV000284,E001258,maintenance,177,notes
SV000285,E000786,maintenance,165,notes
SV000286,E000652,engineering,164,notes
SV000287,E001296,engineering,87,notes
SV000288,E001570,engineering,193,notes
SV000289,E001172,engineering,77,notes
SV000290,E001424,contract_mfg,198,notes
SV000291,E000484,engineering,8,notes
SV000292,E000712,maintenance,114,notes
SV000293,E001486,contract_mfg,198,notes
SV000294,E000026,engineering,178,notes
SV000295,E000451,contract_mfg,25,notes
SV000296,E000489,contract_mfg,13,notes
SV000297,E001862,contract_mfg,96,notes
SV000298,E001734,engineering,4,notes
SV000299,E000935,contract_mfg,149,notes
SV000300,E000827,engineering,103,notes
SV000301,E001617,contract_mfg,194,notes
SV000302,E001286,maintenance,39,notes
SV000303,E001353,maintenance,102,notes
SV000304,E001798,contract_mfg,13,notes
SV000305,E001562,maintenance,198,notes
SV000306,E000048,maintenance,61,notes
SV000307,E001964,engineering,180,notes
SV000308,E001053,contract_mfg,57,notes
SV000309,E000238,maintenance,18,notes
SV000310,E000123,maintenance,59,notes
SV000311,E001285,engineering,72,notes
SV000312,E001181,engineering,99,notes
SV000313,E001031,contract_mfg,102,notes
SV000314,E000420,contract_mfg,50,notes
SV000315,E000343,engineering,188,notes
SV000316,E000049,contract_mfg,157,notes
SV000317,E001948,engineering,70,notes
SV000318,E001449,maintenance,152,notes
SV000319,E000203,engineering,7,notes
SV000320,E001580,maintenance,33,notes
SV000321,E000550,contract_mfg,122,notes
SV000322,E001841,maintenance,50,notes
SV000323,E000463,engineering,46,notes
SV000324,E001949,contract_mfg,92,notes
SV000325,E001031,maintenance,9,notes
SV000326,E000357,contract_mfg,8,notes
SV000327,E000679,contract_mfg,116,notes
SV000328,E001051,contract_mfg,151,notes
SV000329,E001440,engineering,69,notes
SV000330,E001449,maintenance,79,notes
SV000331,E001926,engineering,161,notes
SV000332,E001843,engineering,181,notes
SV000333,E000335,maintenance,86,notes
SV000334,E000054,engineering,154,notes
SV000335,E000749,engineering,21,notes
SV000336,E001495,contract_mfg,115,notes
SV000337,E000239,maintenance,72,notes
SV000338,E001096,contract_mfg,42,notes
SV000339,E001324,maintenance,141,notes
SV000340,E001867,engineering,34,notes
SV000341,E001328,maintenance,135,notes
SV000342,E000291,maintenance,98,notes
SV000343,E000052,engineering,192,notes
SV000344,E001452,contract_mfg,180,notes
SV000345,E001668,contract_mfg,24,notes
SV000346,E000233,maintenance,88,notes
SV000347,E001697,engineering,155,notes
SV000348,E001442,maintenance,146,notes
SV000349,E001089,maintenance,150,notes
SV000350,E000156,engineering,22,notes
SV000351,E001621,maintenance,27,notes
SV000352,E001135,engineering,31,notes
SV000353,E001346,maintenance,146,notes
SV000354,E001312,engineering,133,notes
SV000355,E001565,contract_mfg,52,notes
SV000356,E000525,engineering,16,notes
SV000357,E000334,contract_mfg,159,notes
SV000358,E001787,contract_mfg,100,notes
SV000359,E000926,contract_mfg,61,notes
SV000360,E000186,maintenance,96,notes
SV000361,E000630,engineering,184,notes
SV000362,E000271,engineering,19,notes
SV000363,E001471,maintenance,122,notes
SV000364,E001064,contract_mfg,55,notes
SV000365,E000320,maintenance,196,notes
SV000366,E000528,contract_mfg,28,notes
SV000367,E000861,engineering,157,notes
SV000368,E001127,engineering,178,notes
SV000369,E000652,engineering,48,notes
SV000370,E000394,engineering,192,notes
SV000371,E001905,engineering,86,notes
SV000372,E001612,contract_mfg,81,notes
SV000373,E001548,engineering,31,notes
SV000374,E000500,engineering,32,notes
SV000375,E000366,maintenance,142,notes
SV000376,E000091,engineering,68,notes
SV000377,E000414,maintenance,82,notes
SV000378,E000495,maintenance,110,notes
SV000379,E001434,engineering,114,notes
SV000380,E000961,engineering,29,notes
SV000381,E000447,maintenance,198,notes
SV000382,E000308,contract_mfg,14,notes
SV000383,E000988,maintenance,26,notes
SV000384,E000782,engineering,37,notes
SV000385,E000303,contract_mfg,45,notes
SV000386,E001975,maintenance,116,notes
SV000387,E000564,engineering,96,notes
SV000388,E001876,maintenance,133,notes
SV000389,E001470,engineering,16,notes
SV000390,E000293,engineering,7,notes
SV000391,E000022,engineering,106,notes
SV000392,E000542,engineering,82,notes
SV000393,E000032,engineering,16,notes
SV000394,E000775,engineering,130,notes
SV000395,E000919,contract_mfg,169,notes
SV000396,E001924,engineering,5,notes
SV000397,E001428,contract_mfg,15,notes
SV000398,E000111,maintenance,184,notes
SV000399,E001342,contract_mfg,63,notes
SV000400,E000307,maintenance,156,notes
SV000401,E001775,maintenance,196,notes
SV000402,E000603,contract_mfg,171,notes
SV000403,E001405,maintenance,93,notes
SV000404,E000170,engineering,113,notes
SV000405,E000246,maintenance,25,notes
SV000406,E001952,contract_mfg,75,notes
SV000407,E000952,engineering,86,notes
SV000408,E000832,engineering,115,notes
SV000409,E000307,maintenance,52,notes
SV000410,E000180,engineering,43,notes
SV000411,E001931,contract_mfg,5,notes
SV000412,E000593,contract_mfg,21,notes
SV000413,E000123,contract_mfg,57,notes
SV000414,E000021,maintenance,137,notes
SV000415,E001688,engineering,192,notes
SV000416,E001141,contract_mfg,28,notes
SV000417,E000446,maintenance,162,notes
SV000418,E000442,contract_mfg,85,notes
SV000419,E000724,maintenance,177,notes
SV000420,E001433,contract_mfg,130,notes
SV000421,E000191,maintenance,7,notes
SV000422,E001390,maintenance,111,notes
SV000423,E000348,engineering,95,notes
SV000424,E000969,engineering,118,notes
SV000425,E001949,maintenance,196,notes
SV000426,E001810,engineering,163,notes
SV000427,E000780,engineering,60,notes
SV000428,E001709,contract_mfg,7,notes
SV000429,E001932,engineering,18,notes
SV000430,E000375,engineering,14,notes
SV000431,E000649,engineering,199,notes
SV000432,E001243,engineering,124,notes
SV000433,E001423,engineering,80,notes
SV000434,E000283,maintenance,177,notes
SV000435,E000292,engineering,176,notes
SV000436,E000511,engineering,84,notes
SV000437,E000174,engineering,21,notes
SV000438,E001274,maintenance,184,notes
SV000439,E000651,maintenance,195,notes
SV000440,E001067,engineering,159,notes
SV000441,E000358,contract_mfg,100,notes
SV000442,E001648,contract_mfg,29,notes
SV000443,E001213,maintenance,40,notes
SV000444,E001873,maintenance,114,notes
SV000445,E000503,contract_mfg,199,notes
SV000446,E000778,contract_mfg,28,notes
SV000447,E001285,engineering,129,notes
SV000448,E001004,contract_mfg,71,notes
SV000449,E000020,engineering,70,notes
SV000450,E000823,contract_mfg,191,notes
SV000451,E000328,contract_mfg,75,notes
SV000452,E001654,engineering,188,notes
SV000453,E000790,maintenance,171,notes
SV000454,E001155,maintenance,156,notes
SV000455,E000641,contract_mfg,114,notes
SV000456,E001917,contract_mfg,111,notes
SV000457,E001186,contract_mfg,65,notes
SV000458,E001268,engineering,55,notes
SV000459,E001376,contract_mfg,23,notes
SV000460,E001912,engineering,170,notes
SV000461,E000011,maintenance,103,notes
SV000462,E000005,maintenance,104,notes
SV000463,E000752,contract_mfg,76,notes
SV000464,E000829,maintenance,53,notes
SV000465,E000296,contract_mfg,5,notes
SV000466,E001898,maintenance,139,notes
SV000467,E001835,maintenance,148,notes
SV000468,E000031,engineering,146,notes
SV000469,E000548,contract_mfg,78,notes
SV000470,E000873,contract_mfg,147,notes
SV000471,E001866,maintenance,150,notes
SV000472,E000473,contract_mfg,198,notes
SV000473,E001675,maintenance,66,notes
SV000474,E001213,engineering,190,notes
SV000475,E001923,contract_mfg,37,notes
SV000476,E000903,maintenance,36,notes
SV000477,E000837,contract_mfg,5,notes
SV000478,E001641,contract_mfg,143,notes
SV000479,E001139,maintenance,60,notes
SV000480,E001584,contract_mfg,81,notes
SV000481,E000153,maintenance,57,notes
SV000482,E001663,engineering,96,notes
SV000483,E000827,engineering,186,notes
SV000484,E000282,maintenance,78,notes
SV000485,E000876,contract_mfg,78,notes
SV000486,E000371,engineering,71,notes
SV000487,E000916,engineering,25,notes
SV000488,E000110,contract_mfg,23,notes
SV000489,E000453,engineering,114,notes
SV000490,E000054,engineering,94,notes
SV000491,E001953,contract_mfg,14,notes
SV000492,E001349,maintenance,33,notes
SV000493,E001417,contract_mfg,112,notes
SV000494,E001596,contract_mfg,90,notes
SV000495,E000398,contract_mfg,144,notes
SV000496,E001645,engineering,108,notes
SV000497,E000715,contract_mfg,80,notes
SV000498,E001793,maintenance,58,notes
SV000499,E001326,contract_mfg,134,notes
SV000500,E001151,maintenance,119,notes
SV000501,E000380,maintenance,102,notes
SV000502,E001593,contract_mfg,67,notes
SV000503,E000611,engineering,1,notes
SV000504,E001062,contract_mfg,12,notes
SV000505,E000337,engineering,60,notes
SV000506,E001648,maintenance,124,notes
SV000507,E000712,contract_mfg,178,notes
SV000508,E001823,engineering,78,notes
SV000509,E000653,contract_mfg,56,notes
SV000510,E000152,engineering,169,notes
SV000511,E000530,contract_mfg,26,notes
SV000512,E001812,engineering,91,notes
SV000513,E001238,maintenance,158,notes
SV000514,E001721,contract_mfg,119,notes
SV000515,E000990,maintenance,152,notes
SV000516,E000077,engineering,186,notes
SV000517,E001538,contract_mfg,90,notes
SV000518,E000917,maintenance,199,notes
SV000519,E001826,contract_mfg,179,notes
SV000520,E001246,engineering,139,notes
SV000521,E000664,engineering,132,notes
SV000522,E001511,maintenance,6,notes
SV000523,E001512,engineering,146,notes
SV000524,E001913,contract_mfg,186,notes
SV000525,E000110,maintenance,18,notes
SV000526,E001941,engineering,149,notes
SV000527,E000183,maintenance,73,notes
SV000528,E000962,maintenance,52,notes
SV000529,E000670,maintenance,57,notes
SV000530,E001057,maintenance,95,notes
SV000531,E001557,contract_mfg,31,notes
SV000532,E000855,engineering,46,notes
SV000533,E000564,engineering,151,notes
SV000534,E001269,maintenance,106,notes
SV000535,E000761,engineering,87,notes
SV000536,E001703,contract_mfg,197,notes
SV000537,E001923,contract_mfg,38,notes
SV000538,E001043,maintenance,96,notes
SV000539,E001873,engineering,74,notes
SV000540,E000342,maintenance,59,notes
SV000541,E000506,maintenance,129,notes
SV000542,E001921,engineering,136,notes
SV000543,E000501,contract_mfg,6,notes
SV000544,E000205,contract_mfg,38,notes
SV000545,E001206,contract_mfg,113,notes
SV000546,E000831,maintenance,108,notes
SV000547,E000642,engineering,136,notes
SV000548,E001571,contract_mfg,139,notes
SV000549,E001468,engineering,143,notes
SV000550,E000041,engineering,75,notes
SV000551,E001302,engineering,98,notes
SV000552,E000396,contract_mfg,88,notes
SV000553,E000306,contract_mfg,81,notes
SV000554,E000075,contract_mfg,84,notes
SV000555,E001180,maintenance,74,notes
SV000556,E000126,maintenance,78,notes
SV000557,E000182,engineering,130,notes
SV000558,E000067,maintenance,79,notes
SV000559,E000825,engineering,56,notes
SV000560,E001763,contract_mfg,135,notes
SV000561,E001376,contract_mfg,32,notes
SV000562,E000765,contract_mfg,28,notes
SV000563,E001402,engineering,78,notes
SV000564,E001639,engineering,154,notes
SV000565,E000649,engineering,7,notes
SV000566,E001510,engineering,79,notes
SV000567,E001742,maintenance,68,notes
SV000568,E000535,maintenance,91,notes
SV000569,E000447,maintenance,193,notes
SV000570,E001198,contract_mfg,164,notes
SV000571,E000773,maintenance,113,notes
SV000572,E001678,contract_mfg,173,notes
SV000573,E000276,maintenance,188,notes
SV000574,E000806,maintenance,162,notes
SV000575,E000759,engineering,11,notes
SV000576,E001051,contract_mfg,53,notes
SV000577,E000959,engineering,34,notes
SV000578,E001520,engineering,90,notes
SV000579,E000751,engineering,194,notes
SV000580,E001977,engineering,149,notes
SV000581,E001131,maintenance,138,notes
SV000582,E000509,contract_mfg,21,notes
SV000583,E001384,contract_mfg,194,notes
SV000584,E000044,maintenance,88,notes
SV000585,E001963,maintenance,196,notes
SV000586,E001441,contract_mfg,127,notes
SV000587,E001606,maintenance,48,notes
SV000588,E000116,maintenance,115,notes
SV000589,E001809,maintenance,150,notes
SV000590,E000302,maintenance,127,notes
SV000591,E000688,contract_mfg,64,notes
SV000592,E001099,contract_mfg,35,notes
SV000593,E000718,contract_mfg,186,notes
SV000594,E000497,maintenance,103,notes
SV000595,E000337,contract_mfg,188,notes
SV000596,E000535,contract_mfg,68,notes
SV000597,E001377,engineering,21,notes
SV000598,E000206,maintenance,138,notes
SV000599,E000019,maintenance,112,notes
SV000600,E000701,engineering,81,notes
SV000601,E000141,maintenance,169,notes
SV000602,E001480,maintenance,7,notes
SV000603,E000887,engineering,40,notes
SV000604,E001470,contract_mfg,61,notes
SV000605,E001674,contract_mfg,73,notes
SV000606,E001499,contract_mfg,159,notes
SV000607,E000787,maintenance,27,notes
SV000608,E000721,contract_mfg,97,notes
SV000609,E000442,engineering,135,notes
SV000610,E001099,contract_mfg,96,notes
SV000611,E001678,contract_mfg,123,notes
SV000612,E001019,maintenance,94,notes
SV000613,E000985,engineering,192,notes
SV000614,E000608,engineering,168,notes
SV000615,E001404,contract_mfg,72,notes
SV000616,E001005,maintenance,22,notes
SV000617,E000789,maintenance,142,notes
SV000618,E001936,contract_mfg,40,notes
SV000619,E000234,maintenance,40,notes
SV000620,E000339,contract_mfg,47,notes
SV000621,E001948,maintenance,85,notes
SV000622,E000812,contract_mfg,143,notes
SV000623,E001258,maintenance,196,notes
SV000624,E000988,contract_mfg,84,notes
SV000625,E001964,engineering,152,notes
SV000626,E000612,maintenance,68,notes
SV000627,E001207,engineering,138,notes
SV000628,E000405,maintenance,32,notes
SV000629,E000267,maintenance,7,notes
SV000630,E000023,maintenance,141,notes
SV000631,E000476,engineering,13,notes
SV000632,E001623,engineering,40,notes
SV000633,E000698,contract_mfg,60,notes
SV000634,E000631,engineering,16,notes
SV000635,E001900,maintenance,43,notes
SV000636,E001348,maintenance,9,notes
SV000637,E000210,engineering,172,notes
SV000638,E001694,maintenance,14,notes
SV000639,E000949,maintenance,79,notes
SV000640,E000865,contract_mfg,183,notes
SV000641,E001072,engineering,92,notes
SV000642,E001156,contract_mfg,119,notes
SV000643,E001230,engineering,57,notes
SV000644,E000150,contract_mfg,88,notes
SV000645,E000606,engineering,31,notes
SV000646,E000227,maintenance,12,notes
SV000647,E001080,maintenance,85,notes
SV000648,E000155,maintenance,88,notes
SV000649,E001937,engineering,29,notes
SV000650,E000257,maintenance,8,notes
SV000651,E001810,contract_mfg,106,notes
SV000652,E000798,engineering,9,notes
SV000653,E000147,contract_mfg,184,notes
SV000654,E000567,engineering,22,notes
SV000655,E000878,engineering,157,notes
SV000656,E000799,engineering,100,notes
SV000657,E000281,engineering,36,notes
SV000658,E001600,engineering,16,notes
SV000659,E000999,maintenance,79,notes
SV000660,E000089,maintenance,110,notes
SV000661,E001362,maintenance,25,notes
SV000662,E000820,engineering,166,notes
SV000663,E000968,maintenance,4,notes
SV000664,E000832,maintenance,99,notes
SV000665,E000765,contract_mfg,16,notes
SV000666,E000067,maintenance,114,notes
SV000667,E001626,maintenance,41,notes
SV000668,E001565,maintenance,87,notes
SV000669,E000739,maintenance,183,notes
SV000670,E000344,engineering,13,notes
SV000671,E000242,maintenance,45,notes
SV000672,E000516,maintenance,155,notes
SV000673,E000445,contract_mfg,127,notes
SV000674,E000675,engineering,196,notes
SV000675,E000392,maintenance,117,notes
SV000676,E000375,maintenance,69,notes
SV000677,E000709,maintenance,45,notes
SV000678,E001866,contract_mfg,129,notes
SV000679,E000587,maintenance,178,notes
SV000680,E001585,maintenance,66,notes
SV000681,E001522,engineering,107,notes
SV000682,E001841,engineering,65,notes
SV000683,E000394,maintenance,139,notes
SV000684,E000406,maintenance,100,notes
SV000685,E001020,engineering,8,notes
SV000686,E000286,engineering,31,notes
SV000687,E001715,maintenance,52,notes
SV000688,E001580,maintenance,129,notes
SV000689,E001274,maintenance,53,notes
SV000690,E000988,maintenance,59,notes
SV000691,E001612,maintenance,176,notes
SV000692,E001809,contract_mfg,199,notes
SV000693,E000576,contract_mfg,198,notes
SV000694,E000166,engineering,105,notes
SV000695,E000848,engineering,41,notes
SV000696,E000272,maintenance,8,notes
SV000697,E000507,contract_mfg,125,notes
SV000698,E000121,engineering,132,notes
SV000699,E001160,engineering,131,notes
SV000700,E001231,engineering,192,notes
SV000701,E000442,contract_mfg,28,notes
SV000702,E001282,contract_mfg,35,notes
SV000703,E001669,engineering,188,notes
SV000704,E000762,maintenance,37,notes
SV000705,E001620,maintenance,155,notes
SV000706,E001357,maintenance,91,notes
SV000707,E001062,maintenance,19,notes
SV000708,E000223,contract_mfg,95,notes
SV000709,E001574,maintenance,57,notes
SV000710,E001338,engineering,194,notes
SV000711,E000248,contract_mfg,9,notes
SV000712,E000215,contract_mfg,187,notes
SV000713,E001379,contract_mfg,1,notes
SV000714,E001311,contract_mfg,44,notes
SV000715,E000138,contract_mfg,109,notes
SV000716,E000523,maintenance,194,notes
SV000717,E001423,contract_mfg,47,notes
SV000718,E000955,contract_mfg,191,notes
SV000719,E001738,contract_mfg,82,notes
SV000720,E001920,contract_mfg,103,notes
SV000721,E001361,engineering,131,notes
SV000722,E000208,maintenance,113,notes
